timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-23 3:43:8,901.81,191.26,328.22,16.78,90.70,24.30,99.90,13.40,19.26,26.65
2024-7-23 3:44:45,486.83,106.27,185.82,16.77,91.00,24.30,99.90,9.99,18.36,32.34
2024-7-23 3:46:21,491.43,95.71,194.16,16.77,90.60,24.30,99.90,15.13,20.90,58.82
2024-7-23 3:47:57,489.98,106.14,178.29,16.77,90.60,24.30,99.90,12.38,20.45,35.24
2024-7-23 3:49:34,478.35,109.19,172.59,16.78,90.40,24.30,99.90,11.70,19.32,40.62
2024-7-23 4:47:2,779.91,156.47,284.93,16.79,89.90,26.70,99.90,7.59,13.66,22.63
2024-7-23 4:48:39,462.12,106.01,184.80,16.80,91.00,26.90,99.90,13.81,22.82,33.12
2024-7-23 4:50:15,477.14,104.10,177.68,16.80,89.20,27.10,99.90,6.74,15.55,26.50
2024-7-23 4:51:51,493.85,101.18,195.38,16.79,91.60,27.20,99.90,6.07,13.89,24.89
2024-7-23 4:53:28,474.96,106.27,183.78,16.80,90.30,27.20,99.90,17.91,26.62,41.40
2024-7-23 4:55:4,473.26,99.14,180.93,16.80,90.80,27.50,99.90,153.24,163.90,179.92
2024-7-23 4:56:41,552.24,104.87,184.39,16.80,89.50,27.50,99.90,16.73,24.28,58.86
2024-7-23 4:58:17,482.95,103.72,189.48,16.80,91.60,27.60,99.30,122.46,132.73,155.42
2024-7-23 4:59:53,488.52,95.45,190.09,16.80,92.70,27.80,98.30,184.66,195.21,210.04
2024-7-23 5:1:30,581.55,97.74,195.79,16.80,88.50,27.90,95.40,13.96,25.78,50.80
2024-7-23 5:3:6,528.74,101.18,201.08,16.79,88.40,28.20,94.50,89.06,98.10,109.11
2024-7-23 5:4:42,491.92,96.47,203.52,16.79,91.60,28.40,93.70,17.22,27.14,57.32
2024-7-23 5:6:19,481.01,95.71,189.48,16.80,89.40,28.50,90.50,15.69,26.54,39.34
2024-7-23 5:7:55,512.99,108.55,182.97,16.80,92.80,28.60,91.80,12.37,19.75,25.98
2024-7-23 5:9:31,545.70,95.84,197.82,16.80,91.40,28.80,91.40,16.30,26.20,44.40
2024-7-23 5:11:8,472.53,105.88,188.05,16.80,90.80,29.00,87.30,19.68,28.84,58.34
2024-7-23 5:12:44,481.26,102.45,184.80,16.80,92.00,29.10,86.50,21.21,29.10,43.43
2024-7-23 5:14:21,460.18,103.98,196.81,16.80,91.80,29.30,84.30,23.35,34.43,53.60
2024-7-23 5:15:57,467.93,94.69,191.31,16.80,91.30,29.40,85.10,17.77,28.29,38.19
2024-7-23 5:17:33,475.68,94.06,190.70,16.80,92.80,29.50,80.80,11.16,18.27,48.92
2024-7-23 5:19:10,456.79,96.73,190.90,16.80,92.50,29.70,80.20,27.67,36.56,47.05
2024-7-23 5:20:46,451.70,105.88,174.42,16.80,91.90,29.80,77.40,23.31,32.23,49.17
2024-7-23 5:22:22,477.38,106.39,198.03,16.80,90.90,29.90,76.80,16.48,24.97,36.16
2024-7-23 5:23:59,476.90,99.14,192.74,16.80,93.00,30.00,73.50,22.71,31.89,51.41
2024-7-23 5:25:35,457.51,96.85,187.85,16.81,90.60,30.10,74.10,30.92,42.37,55.40
2024-7-23 5:27:12,451.94,102.20,180.73,16.80,90.10,30.10,73.60,28.37,37.15,48.27
2024-7-23 5:28:48,454.12,95.58,185.21,16.80,90.40,30.30,72.90,50.99,59.99,77.51
2024-7-23 5:30:24,449.04,98.89,177.27,16.80,91.50,30.30,72.70,7.45,14.60,23.56
2024-7-23 6:31:50,433.29,102.07,193.55,16.82,90.60,32.20,41.50,6.44,16.47,33.33
2024-7-23 15:53:50,611.39,139.14,250.67,16.78,93.30,26.80,90.70,77.98,98.03,131.30
2024-7-23 15:55:26,446.61,108.05,189.89,16.78,91.60,26.80,90.50,80.26,97.68,137.87
2024-7-23 15:57:3,439.83,101.94,191.11,16.77,92.00,26.90,91.20,64.70,81.88,126.53
