timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-8-9 0:0:55,453.40,103.98,202.50,16.77,89.50,24.80,99.90,6.10,12.07,31.21
2024-8-9 0:2:31,449.52,108.30,197.62,16.77,91.00,24.70,99.90,5.33,11.13,16.93
2024-8-9 0:4:7,436.44,101.69,191.72,16.76,89.90,24.80,99.90,5.44,11.52,30.24
2024-8-9 0:5:44,429.90,106.52,185.61,16.77,91.60,24.70,99.90,5.96,12.10,44.96
2024-8-9 0:7:21,428.93,104.48,178.49,16.76,91.40,24.70,99.90,6.55,12.62,22.69
2024-8-9 0:8:57,416.81,106.65,188.87,16.77,89.30,24.70,99.90,6.08,12.63,32.53
2024-8-9 0:10:34,422.39,105.50,182.56,16.77,91.90,24.70,99.90,5.75,12.23,32.12
2024-8-9 0:12:10,428.20,101.18,192.12,16.76,87.50,24.60,99.90,6.15,12.54,25.68
2024-8-9 0:13:47,427.23,107.92,199.25,16.77,92.10,24.60,99.90,5.40,12.35,36.51
2024-8-9 0:15:23,411.97,108.30,179.30,16.77,91.70,24.70,99.90,7.36,15.18,38.43
2024-8-9 0:17:0,419.96,100.80,198.23,16.77,93.50,24.70,99.90,7.24,13.19,17.79
2024-8-9 0:18:36,468.17,105.76,190.70,16.77,89.20,24.70,99.90,7.24,12.71,18.25
2024-8-9 0:20:13,481.26,109.19,192.74,16.77,89.40,24.70,99.90,5.59,11.02,15.07
2024-8-9 0:21:49,457.03,104.23,182.56,16.76,90.70,24.70,99.90,6.42,11.87,22.80
2024-8-9 3:17:40,527.29,108.43,201.08,16.76,90.80,23.10,99.90,6.10,9.83,12.00
2024-8-9 3:19:16,438.86,109.06,172.39,16.77,89.10,23.00,99.90,6.98,11.27,30.69
2024-8-9 3:20:53,439.34,107.41,179.10,16.76,89.60,22.80,99.90,7.50,11.92,52.81
2024-8-9 3:22:29,460.91,110.46,175.03,16.77,92.70,22.80,99.90,7.71,12.01,17.89
2024-8-9 3:24:6,466.24,109.83,194.77,16.76,91.60,23.00,99.90,8.77,12.49,18.28
2024-8-9 3:25:43,425.78,106.14,188.26,16.77,91.90,23.00,99.90,6.25,11.97,34.18
2024-8-9 3:27:19,451.70,106.39,190.90,16.76,90.90,23.10,99.90,6.99,10.74,33.17
2024-8-9 3:28:56,425.54,110.97,190.70,16.76,90.10,23.10,99.90,9.32,14.44,25.06
2024-8-9 3:30:32,434.02,101.43,183.58,16.77,90.40,23.10,99.90,11.08,15.81,21.60
2024-8-9 3:32:9,433.05,109.06,183.98,16.76,93.20,23.30,99.90,6.37,11.20,25.81
2024-8-9 3:33:46,444.92,95.33,174.62,16.77,90.30,23.30,99.90,7.47,11.77,15.92
2024-8-9 3:35:22,433.05,111.48,180.73,16.76,88.80,23.40,99.90,10.76,18.21,46.94
2024-8-9 3:36:59,449.76,106.27,181.14,16.76,90.30,23.30,99.90,8.89,14.79,22.57
2024-8-9 3:38:35,504.51,101.30,185.61,16.77,91.30,23.10,99.90,7.54,13.72,21.20
2024-8-9 3:40:12,453.88,104.99,188.05,16.76,90.50,23.30,99.90,6.36,11.11,17.77
2024-8-9 3:41:48,468.42,111.10,186.63,16.76,92.50,23.40,99.90,7.12,14.15,23.70
2024-8-9 3:43:25,469.63,103.09,183.37,16.76,91.60,23.60,99.90,5.81,9.33,21.34
2024-8-9 3:45:1,467.20,105.76,178.29,16.76,89.50,23.70,99.90,6.80,11.84,31.33
2024-8-9 13:37:21,713.18,173.29,294.97,16.77,88.90,24.70,99.90,3.34,5.21,34.50
2024-8-9 13:38:58,438.86,102.32,185.21,16.77,91.70,24.70,99.90,4.25,5.68,10.87
2024-8-9 13:43:50,578.20,140.03,255.15,16.77,89.70,24.80,99.90,5.49,6.43,6.87
2024-8-9 13:45:27,444.19,105.63,189.48,16.77,92.80,24.80,99.90,4.65,6.12,6.99
2024-8-9 13:47:3,450.97,113.51,177.88,16.76,88.40,24.80,99.90,3.80,5.76,45.81
2024-8-9 13:48:39,451.70,104.61,185.61,16.77,90.20,24.80,99.90,2.99,3.56,21.73
2024-8-9 13:50:16,447.10,100.80,189.68,16.77,93.40,24.80,99.90,3.89,4.89,5.16
2024-8-9 13:51:52,474.72,120.64,179.10,16.76,89.10,24.70,99.90,3.70,5.25,39.45
2024-8-9 13:53:29,508.15,109.06,192.74,16.77,91.40,24.60,99.90,4.42,5.49,10.65
2024-8-9 13:55:5,564.11,111.10,195.99,16.74,141.10,24.30,99.90,3.58,4.76,11.06
2024-8-9 13:56:42,480.53,109.83,188.26,16.77,89.20,24.00,99.90,4.15,5.08,6.45
2024-8-9 13:58:18,492.40,103.47,178.08,16.77,91.80,23.60,99.90,23.32,24.66,25.47
2024-8-9 13:59:55,490.70,107.79,177.68,16.77,90.50,23.40,99.90,3.85,4.44,4.50
2024-8-9 14:1:31,553.93,107.03,188.87,16.76,91.70,23.30,99.90,4.70,5.74,8.58
2024-8-9 14:3:8,501.61,109.83,176.66,16.77,91.20,23.10,99.90,4.68,6.06,17.27
2024-8-9 14:4:45,520.99,107.41,187.65,16.77,90.10,23.10,99.90,6.95,7.70,7.85
2024-8-9 14:6:21,571.62,108.94,188.46,16.77,91.20,23.20,99.90,4.85,5.47,5.61
2024-8-9 14:7:58,578.65,104.10,189.48,16.77,92.60,23.20,99.90,4.86,6.28,10.30
2024-8-9 14:9:34,600.21,111.61,198.23,16.77,89.30,23.10,99.90,5.43,6.58,24.35
