timestamp,voltage,current,humidity,temperature,CO,NO2,SO2,PM1,PM2.5,PM10,WiFi,IoT
2024-09-16 15:23:15,4.21,-14.04,91.00,24.00,1223.40,135.96,539.01,0.00,0.00,0.00,1,0
2024-09-16 15:23:25,4.22,-14.89,91.00,24.00,1218.17,136.41,530.47,0.00,0.00,0.00,1,0
2024-09-16 15:23:35,4.21,-15.31,91.00,24.00,1215.55,134.58,533.15,0.00,0.00,0.00,1,0
2024-09-16 15:23:45,4.21,-14.04,91.00,24.00,1214.10,132.75,534.37,0.00,0.00,0.00,1,0
2024-09-16 15:23:55,4.22,-14.90,91.00,24.00,1210.03,135.80,533.15,0.00,0.00,0.00,1,0
2024-09-16 15:24:05,4.21,-13.41,91.00,24.00,1208.00,132.90,537.79,0.00,0.00,0.00,1,0
2024-09-16 15:24:15,4.21,-14.34,91.00,24.00,1198.70,133.97,533.89,0.00,0.00,0.00,1,1
2024-09-16 15:24:25,4.22,-14.64,91.00,24.00,1209.16,134.89,536.08,0.00,0.00,0.00,1,1
2024-09-16 15:24:35,4.21,-15.46,91.00,24.00,1208.29,133.36,532.91,0.00,0.00,0.00,1,1
2024-09-16 15:24:45,4.21,-13.19,91.00,24.00,1204.51,134.28,536.33,0.00,0.00,0.00,1,1
2024-09-16 15:24:55,4.22,-14.80,91.00,24.00,1208.29,136.11,533.40,0.00,0.00,0.00,1,1
2024-09-16 15:25:05,4.21,-13.70,91.00,24.00,1199.28,136.72,534.13,0.00,0.00,0.00,1,1
2024-09-16 15:25:15,2.95,-10.02,63.70,16.80,850.04,94.82,375.72,0.00,0.00,0.00,1,0
2024-09-16 15:25:25,4.21,-15.21,91.00,24.00,1201.89,136.72,539.99,0.00,0.00,0.00,1,0
2024-09-16 15:25:35,4.21,-15.77,91.00,24.00,1203.93,137.18,531.20,0.00,0.00,0.00,1,0
2024-09-16 15:25:45,4.21,-14.13,91.00,24.00,1198.99,135.50,530.96,0.00,0.00,0.00,1,0
2024-09-16 15:25:55,4.21,-13.79,91.00,24.00,1197.24,135.19,531.20,0.00,0.00,0.00,1,0
2024-09-16 15:26:05,4.21,-15.54,91.00,24.00,1196.37,133.51,529.25,0.00,0.00,0.00,1,0
2024-09-16 15:26:15,4.22,-13.78,91.00,24.00,1192.01,137.79,524.85,0.00,0.00,0.00,1,1
2024-09-16 15:26:25,4.22,-14.86,91.00,24.00,1197.53,136.26,532.91,0.00,0.00,0.00,1,1
2024-09-16 15:26:35,4.21,-14.88,91.00,24.00,1191.72,137.18,530.47,0.00,0.00,0.00,1,1
2024-09-16 15:26:45,4.22,-14.58,91.00,24.00,1195.79,135.50,528.76,0.00,0.00,0.00,1,1
2024-09-16 15:26:55,4.21,-13.57,91.00,24.00,1184.74,135.80,533.40,0.00,0.00,0.00,1,1
2024-09-16 15:27:05,4.21,-13.88,91.00,24.00,1191.43,132.29,526.81,0.00,0.00,0.00,1,1
2024-09-16 15:27:15,4.22,-15.04,91.00,24.00,1201.60,137.02,528.52,0.00,0.00,0.00,1,1
2024-09-16 15:27:25,4.22,-14.82,91.00,24.00,1188.23,138.09,529.74,0.00,0.00,0.00,1,1
2024-09-16 15:27:35,4.21,-15.03,91.00,24.00,1186.20,134.58,528.76,0.00,0.00,0.00,1,1
2024-09-16 15:27:45,4.22,-13.88,91.00,24.00,1180.39,135.35,529.98,0.00,0.00,0.00,1,1
2024-09-16 15:27:55,4.22,-15.05,91.00,24.00,1183.58,138.09,530.96,0.00,0.00,0.00,1,1
2024-09-16 15:28:05,4.21,-14.09,91.00,24.00,1185.04,134.74,522.90,0.00,0.00,0.00,1,1
2024-09-16 15:28:15,2.95,-10.47,63.70,16.80,826.50,96.34,370.60,0.00,0.00,0.00,1,1
