timestamp,voltage,current,humidity,temperature,CO,NO2,SO2,PM1,PM2.5,PM10,WiFi
2024-09-01 21:57:37,13.57,0.00,72.20,24.60,1336.75,231.02,522.17,0.00,0.00,0.00,0.00,1
2024-09-01 21:57:42,10.86,0.00,57.76,19.68,1048.13,176.94,414.61,0.00,0.00,0.00,0.00,1
2024-09-01 21:57:47,13.57,-0.04,72.20,24.60,1319.31,223.39,523.14,0.00,0.00,0.00,0.00,1
2024-09-01 21:57:52,10.86,-0.10,57.76,19.68,1055.10,179.08,419.00,0.00,0.00,0.00,0.00,1
2024-09-01 21:57:57,13.57,-0.02,72.20,24.60,1326.29,233.76,537.79,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:02,10.86,-0.08,57.76,19.68,1050.45,187.32,414.61,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:07,13.57,-0.08,72.20,24.60,1308.85,227.66,523.14,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:12,10.85,-0.08,57.76,19.68,1059.75,177.25,420.47,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:17,13.57,-0.02,72.20,24.60,1334.43,223.08,528.52,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:22,10.85,-0.10,57.76,19.68,1059.75,183.35,416.56,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:27,13.57,0.02,72.20,24.60,1322.80,231.63,524.12,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:32,10.85,-0.04,57.76,19.68,1051.61,184.27,417.54,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:37,13.57,0.02,72.20,24.60,1334.43,226.75,529.49,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:42,10.85,0.00,57.76,19.68,1051.61,181.21,416.56,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:47,13.57,-0.02,72.20,24.60,1325.71,222.78,522.17,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:52,13.57,-0.02,72.20,24.60,1333.84,229.80,523.14,0.00,0.00,0.00,0.00,1
2024-09-01 21:58:57,13.57,0.10,72.20,24.60,1330.36,221.56,531.45,0.00,0.00,0.00,0.00,1
2024-09-01 21:59:02,13.57,-0.02,72.20,24.60,1323.38,223.69,506.54,0.00,0.00,0.00,0.00,1
2024-09-01 21:59:07,13.57,-0.02,72.20,24.60,1345.47,231.93,526.56,0.00,0.00,0.00,0.00,1
2024-09-01 21:59:12,10.85,-0.10,57.76,19.68,1074.87,178.47,414.61,0.00,0.00,0.00,0.00,1
2024-09-01 21:59:17,13.57,-0.02,72.20,24.60,1324.54,227.05,520.70,0.00,0.00,0.00,0.00,1
