timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-8-14 1:41:55,815.56,201.81,332.49,16.77,91.20,24.80,99.90,6.65,9.94,20.55
2024-8-14 4:8:18,620.84,151.35,237.24,16.77,92.70,24.80,99.90,7.77,43.23,290.72
2024-8-14 4:9:55,457.76,115.55,174.01,16.77,87.70,24.80,99.90,7.86,16.75,184.49
2024-8-14 4:11:31,460.66,112.62,182.76,16.77,93.10,24.80,99.90,10.56,130.28,2075.19
2024-8-14 4:13:7,454.12,104.23,185.61,16.77,92.40,24.80,99.90,8.38,29.81,372.75
2024-8-14 4:14:44,468.66,100.67,196.60,16.77,92.90,24.70,99.90,11.28,44.55,685.15
2024-8-14 4:16:21,456.06,114.91,182.97,16.77,92.20,24.60,99.90,13.94,301.32,8768.45
2024-8-14 4:17:57,469.14,109.19,187.04,16.76,89.20,24.60,99.90,12.14,19.59,126.76
2024-8-14 4:19:34,522.44,102.07,185.00,16.77,90.90,24.50,99.90,15.72,23.19,123.24
2024-8-14 4:21:10,571.14,104.10,190.70,16.77,93.00,24.60,99.90,9.92,33.15,466.79
2024-8-14 4:22:47,530.68,105.37,176.46,16.76,88.40,24.50,99.90,12.29,63.20,1103.79
2024-8-14 4:24:23,564.35,106.39,189.89,16.76,89.80,24.60,99.90,10.35,13.61,25.19
2024-8-14 4:25:59,519.05,110.72,181.75,16.77,94.20,24.60,99.90,11.68,125.67,1144.71
2024-8-14 4:27:36,513.96,106.39,186.63,16.76,92.30,24.60,99.90,13.39,44.29,419.84
2024-8-14 4:29:12,568.23,106.90,190.09,16.77,92.80,24.50,99.90,8.23,10.70,27.07
2024-8-14 4:30:49,528.50,106.77,179.30,16.77,91.90,24.50,99.90,7.35,9.17,25.12
2024-8-14 4:32:25,486.59,104.87,164.45,16.77,93.60,24.50,99.90,9.13,12.56,19.36
2024-8-14 4:34:1,483.19,106.52,182.76,16.76,91.10,24.50,99.90,6.57,9.67,23.90
2024-8-14 4:35:38,502.09,109.32,180.12,16.77,89.60,24.60,99.90,10.35,13.16,38.91
2024-8-14 4:37:14,479.56,108.30,185.61,16.77,91.80,24.60,99.90,7.44,10.08,23.76
2024-8-14 4:38:51,484.65,105.12,178.29,16.77,93.50,24.60,99.90,8.10,11.56,24.02
2024-8-14 4:40:27,476.65,103.72,184.80,16.77,90.90,24.50,99.90,6.65,9.09,26.51
2024-8-14 4:42:3,476.41,109.06,186.43,16.78,90.30,24.50,99.90,11.51,14.41,15.85
2024-8-14 4:43:40,470.84,102.58,176.05,16.77,89.40,24.60,99.90,10.97,13.91,15.08
2024-8-14 4:45:16,473.26,103.47,188.46,16.78,91.80,24.60,99.90,9.97,13.56,17.39
2024-8-14 4:46:53,497.97,100.16,188.87,16.77,88.70,24.70,99.90,12.33,14.59,15.35
2024-8-14 4:48:29,497.00,111.23,168.93,16.77,92.40,24.70,99.90,10.98,13.73,25.12
2024-8-14 4:50:5,499.91,108.05,186.02,16.77,89.60,24.80,99.90,9.58,12.22,17.17
2024-8-14 4:51:42,919.27,110.46,189.89,16.77,92.00,24.90,99.90,12.40,15.17,19.45
2024-8-14 4:53:18,644.54,112.62,187.65,16.77,90.50,25.00,99.90,10.43,12.36,13.49
2024-8-14 4:54:55,560.96,111.10,178.69,16.77,91.50,25.00,99.90,11.15,13.55,19.66
2024-8-14 4:56:31,597.54,109.83,170.35,16.77,89.20,24.70,99.90,13.81,16.50,20.07
2024-8-14 4:58:7,611.11,106.01,194.57,16.78,90.90,24.20,99.90,10.26,11.85,12.23
2024-8-14 4:59:44,595.60,110.59,184.60,16.77,92.00,24.00,99.90,11.72,14.13,18.60
2024-8-14 5:1:20,789.90,106.52,200.26,16.77,89.70,24.10,99.90,11.02,13.07,18.12
2024-8-14 5:2:56,831.08,111.99,186.22,16.78,92.20,24.20,99.90,9.36,10.88,13.79
2024-8-14 5:4:33,711.65,101.69,197.21,16.77,93.60,24.20,99.90,7.91,10.39,14.54
2024-8-14 5:6:9,614.26,105.12,194.57,16.77,87.80,24.20,99.90,7.77,9.94,12.99
2024-8-14 5:7:46,556.84,100.92,188.05,16.77,91.70,24.40,99.90,10.44,12.68,13.27
2024-8-14 5:9:22,645.27,108.30,183.58,16.77,90.40,24.40,99.90,11.73,13.87,15.27
2024-8-14 5:10:58,505.97,103.09,188.05,16.77,90.70,24.50,99.90,9.27,10.63,11.00
2024-8-14 5:12:35,476.65,98.76,169.54,16.78,89.80,24.50,99.90,8.48,11.00,12.04
2024-8-14 5:14:11,497.49,102.32,182.76,16.78,92.30,23.90,99.90,15.52,18.75,31.40
2024-8-14 5:15:47,452.91,104.74,173.40,16.78,92.90,23.80,99.90,16.24,18.67,20.63
2024-8-14 5:17:24,467.93,110.08,182.36,16.77,89.00,23.80,99.90,20.65,23.14,24.01
2024-8-14 5:19:0,454.37,98.76,180.12,16.77,90.40,23.80,99.90,14.94,17.47,33.61
2024-8-14 5:20:36,432.08,102.45,178.08,16.77,92.00,24.00,99.90,12.69,14.89,20.08
2024-8-14 5:22:13,461.63,105.37,183.78,16.77,90.90,24.20,99.90,12.94,15.13,26.30
2024-8-14 5:23:49,541.82,103.09,185.82,16.78,89.70,24.40,99.90,16.59,19.92,23.09
2024-8-14 5:25:26,476.90,101.56,186.22,16.78,92.50,24.70,99.90,23.05,25.19,25.80
2024-8-14 5:27:2,440.80,95.33,179.30,16.78,90.30,24.90,99.90,53.87,57.55,60.03
2024-8-14 5:35:2,646.52,144.87,236.43,16.78,90.10,25.30,99.90,65.55,68.04,68.54
2024-8-14 5:36:38,434.50,107.41,173.00,16.78,91.20,25.50,99.90,182.72,186.16,186.36
2024-8-14 5:38:15,437.16,99.78,169.74,16.78,92.40,25.60,99.90,181.98,186.92,187.63
2024-8-14 5:39:51,432.80,110.97,178.90,16.78,92.70,25.80,99.90,70.89,74.31,75.21
2024-8-14 5:41:27,444.19,106.14,186.02,16.78,90.00,25.80,99.90,37.08,39.63,40.20
2024-8-14 5:43:4,434.26,107.28,171.16,16.78,89.60,25.70,99.90,37.41,39.66,40.19
2024-8-14 5:44:40,423.84,110.34,173.81,16.77,89.00,25.80,99.90,22.58,24.23,39.00
2024-8-14 5:46:17,431.83,101.81,172.59,16.77,90.50,25.80,99.90,182.68,186.77,187.31
2024-8-14 5:47:53,439.83,100.29,182.76,16.77,89.90,25.80,99.90,167.17,171.06,172.80
2024-8-14 5:49:30,441.77,104.74,179.71,16.77,90.80,25.80,99.90,169.39,172.26,172.37
2024-8-14 5:51:6,474.72,109.70,194.36,16.78,93.10,25.80,99.90,7.10,9.64,28.35
2024-8-14 5:52:42,437.16,104.36,169.13,16.77,90.60,25.70,99.90,22.73,24.42,27.31
2024-8-14 5:54:19,447.34,111.10,180.12,16.77,90.90,25.50,99.90,61.51,64.09,69.09
2024-8-14 5:55:55,419.24,112.24,171.98,16.77,93.80,25.40,99.90,19.66,21.45,21.78
2024-8-14 5:57:31,436.92,102.20,173.00,16.77,91.90,25.30,99.90,93.19,95.88,96.19
2024-8-14 5:59:8,451.70,105.25,175.03,16.78,92.20,25.20,99.90,182.16,186.03,194.77
2024-8-14 6:0:44,462.12,111.73,183.58,16.77,90.20,25.30,99.90,182.37,185.92,186.06
2024-8-14 6:2:20,450.49,104.61,177.27,16.78,88.60,25.30,99.90,26.93,28.68,29.51
2024-8-14 6:3:57,434.74,102.20,191.72,16.78,91.10,25.00,99.90,27.74,30.49,31.54
2024-8-14 6:5:33,435.95,108.81,184.80,16.78,91.60,25.00,99.90,25.18,27.73,28.33
2024-8-14 6:7:10,436.92,98.76,180.32,16.78,89.50,25.00,99.90,16.94,19.31,20.07
2024-8-14 6:8:46,432.56,105.25,177.88,16.77,93.50,25.00,99.90,15.74,18.39,19.52
2024-8-14 6:10:23,427.23,102.32,163.84,16.78,91.50,24.90,99.90,41.80,43.51,46.37
2024-8-14 6:11:59,415.36,106.39,182.97,16.77,90.80,24.80,99.90,28.44,30.44,45.45
2024-8-14 6:13:36,439.10,104.99,188.67,16.77,92.30,24.90,99.90,13.28,15.55,16.58
2024-8-14 6:29:25,665.07,164.99,259.70,16.77,89.40,24.60,99.90,7.38,9.64,11.53
2024-8-14 9:31:5,890.52,182.20,294.36,16.78,89.80,26.00,99.90,138.02,140.42,141.44
2024-8-14 9:32:42,499.18,110.21,182.76,16.78,91.70,26.10,99.90,7.25,7.89,10.70
2024-8-14 9:34:18,483.19,106.77,185.82,16.78,90.00,26.30,99.90,181.52,184.35,184.85
2024-8-14 9:35:54,515.66,111.61,190.29,16.78,93.40,26.50,99.90,181.52,184.44,191.92
2024-8-14 9:37:31,488.77,103.85,191.31,16.78,92.80,26.80,99.90,181.31,183.87,184.28
2024-8-14 9:39:7,468.42,108.81,170.96,16.78,92.70,27.00,99.90,181.45,183.98,185.13
2024-8-14 9:40:43,481.26,108.17,180.53,16.78,90.80,27.20,99.90,181.54,184.60,186.17
2024-8-14 9:42:20,492.16,104.99,191.51,16.78,90.50,27.30,99.90,182.71,185.70,198.09
2024-8-14 9:43:56,468.66,106.77,181.95,16.78,92.30,27.30,99.90,180.84,183.20,183.21
2024-8-14 9:45:33,465.75,106.14,162.01,16.78,93.70,27.20,99.90,181.79,184.17,184.19
2024-8-14 9:47:9,475.68,106.01,184.60,16.78,92.60,27.30,99.90,181.91,185.57,187.10
2024-8-14 9:48:46,476.17,107.41,189.89,16.78,91.00,27.30,99.90,181.72,184.62,185.81
2024-8-14 9:50:22,479.80,108.55,180.73,16.78,89.70,27.20,99.90,2.40,3.10,3.60
2024-8-14 9:51:58,473.26,103.85,189.89,16.78,91.20,27.20,99.90,3.26,4.20,15.16
2024-8-14 9:53:35,455.09,101.30,183.17,16.78,88.80,27.20,99.90,3.86,4.51,7.32
2024-8-14 9:55:11,467.45,100.92,180.32,16.78,87.70,27.30,99.90,3.46,4.03,4.43
2024-8-14 9:56:48,522.20,107.16,188.05,16.78,92.30,27.30,99.90,5.42,6.27,7.54
2024-8-14 9:58:24,479.80,102.45,185.61,16.79,88.60,27.30,99.90,3.95,4.40,4.44
2024-8-14 10:0:0,473.02,101.30,183.58,16.79,89.30,27.40,99.90,4.09,4.24,19.42
2024-8-14 10:1:37,584.70,109.19,206.98,16.78,92.60,27.60,99.90,3.10,3.26,3.26
2024-8-14 10:3:14,502.09,107.28,188.26,16.78,92.40,27.80,99.90,8.17,8.81,8.85
2024-8-14 10:4:50,496.76,107.41,188.67,16.78,91.50,28.00,99.90,4.75,5.43,20.04
2024-8-14 10:6:26,467.45,109.70,170.76,16.77,91.80,28.20,97.00,3.01,3.37,17.89
2024-8-14 10:8:3,469.87,99.02,181.75,16.78,91.10,28.20,96.90,3.05,3.32,3.33
2024-8-14 10:9:39,441.77,104.23,180.93,16.78,88.10,28.20,95.50,3.90,4.64,5.07
2024-8-14 10:11:16,474.23,103.98,183.17,16.78,91.80,28.10,96.20,3.86,4.39,4.44
2024-8-14 13:26:25,448.79,102.96,188.46,16.79,91.00,33.30,99.90,2.43,2.86,2.90
2024-8-14 13:28:2,449.04,98.89,198.03,16.79,92.70,33.40,99.90,6.40,6.61,21.17
2024-8-14 13:32:53,439.59,95.07,185.61,16.79,89.70,33.00,99.90,6.87,7.65,7.80
2024-8-14 13:46:48,573.94,117.62,222.31,16.78,92.30,33.90,99.90,3.98,5.16,7.85
2024-8-14 13:48:24,461.39,104.48,178.08,16.79,90.20,34.00,99.90,4.04,4.76,6.02
2024-8-14 13:50:1,429.17,95.07,185.21,16.79,90.40,34.00,99.90,5.17,5.63,5.75
2024-8-14 13:51:38,437.41,102.07,190.70,16.80,91.70,33.80,99.90,2.75,3.52,4.79
2024-8-14 13:53:14,454.61,96.34,191.31,16.79,94.40,33.80,99.90,2.58,3.24,3.65
2024-8-14 13:54:51,431.11,100.03,186.63,16.79,90.30,33.50,99.90,6.26,7.19,8.48
2024-8-14 13:56:28,435.71,99.02,185.41,16.79,94.90,33.40,99.90,3.49,4.26,4.52
2024-8-14 13:58:4,426.50,105.63,190.09,16.79,92.50,33.20,99.90,9.82,10.08,10.08
2024-8-14 15:13:57,989.75,194.44,352.43,16.78,87.10,28.00,93.20,20.58,22.94,32.38
2024-8-14 15:15:34,528.01,113.39,204.13,16.77,92.40,28.00,93.40,146.15,148.98,149.78
2024-8-14 15:53:32,599.62,124.36,214.17,16.77,89.00,26.80,99.90,5.25,6.06,6.30
2024-8-14 15:55:9,555.63,111.48,202.10,16.77,91.80,26.80,99.90,12.13,13.39,14.79
2024-8-14 15:56:45,546.67,104.48,191.51,16.77,91.80,26.80,99.90,7.49,8.81,11.51
2024-8-14 15:58:21,541.58,106.90,188.67,16.77,89.80,26.70,99.90,10.01,11.49,22.02
2024-8-14 15:59:58,538.19,110.59,192.94,16.77,90.90,26.70,99.90,110.32,113.36,114.17
2024-8-14 16:1:34,545.94,111.99,186.43,16.77,92.90,26.70,99.90,170.77,173.53,173.72
2024-8-14 16:3:11,535.04,108.55,194.16,16.77,90.30,26.70,99.90,181.88,185.58,186.37
2024-8-14 16:4:47,522.20,109.95,189.48,16.77,91.50,26.50,99.90,143.00,144.97,152.20
2024-8-14 16:6:23,540.85,109.32,187.24,16.77,88.40,26.60,99.90,102.61,105.86,110.20
2024-8-14 16:8:0,576.71,112.88,186.83,16.77,91.60,26.50,99.90,178.92,182.47,189.91
2024-8-14 16:9:36,558.78,115.04,190.50,16.77,93.50,26.50,99.90,167.33,171.07,174.47
2024-8-14 16:11:12,583.49,108.30,191.11,16.77,92.00,26.50,99.90,146.66,149.75,172.70
2024-8-14 16:12:49,565.81,108.30,186.02,16.77,89.30,26.40,99.90,32.00,34.26,46.05
2024-8-14 16:14:25,617.89,110.08,205.35,16.77,89.70,26.40,99.90,161.29,164.34,164.58
2024-8-14 16:16:1,563.38,107.54,191.11,16.77,93.10,26.30,99.90,172.02,175.17,180.44
2024-8-14 16:17:38,554.66,113.01,192.74,16.77,92.60,26.30,99.90,21.74,24.08,29.98
2024-8-14 16:19:14,561.93,110.08,196.40,16.77,92.20,26.20,99.90,132.26,135.56,137.44
2024-8-14 16:20:50,580.58,110.34,190.09,16.77,91.30,26.20,99.90,85.85,89.19,97.08
2024-8-14 16:22:27,587.61,106.65,191.92,16.77,90.60,26.10,99.90,5.76,7.72,11.30
2024-8-14 16:24:3,557.33,112.75,185.00,16.77,89.30,26.00,99.90,15.36,16.39,31.73
2024-8-14 16:25:40,558.30,112.12,177.27,16.77,90.80,25.90,99.90,14.31,17.49,34.99
2024-8-14 16:27:16,544.24,115.04,196.40,16.77,90.50,25.90,99.90,21.48,23.12,23.71
2024-8-14 16:28:52,556.84,113.13,201.89,16.77,91.40,25.80,99.90,13.34,14.95,16.47
2024-8-14 16:30:29,560.96,110.72,190.70,16.77,89.30,25.80,99.90,11.49,13.74,17.82
2024-8-14 16:32:5,556.84,112.12,195.99,16.77,92.30,25.80,99.90,16.82,17.63,17.78
2024-8-14 16:33:42,540.61,110.84,186.63,16.77,91.10,25.80,99.90,9.72,10.78,11.99
2024-8-14 16:35:18,521.23,109.83,196.60,16.77,90.00,25.70,99.90,5.59,8.11,10.99
2024-8-14 16:36:55,530.44,106.52,195.99,16.77,93.90,25.70,99.90,10.78,11.80,12.33
2024-8-14 16:38:31,627.10,112.75,181.54,16.77,90.30,25.70,99.90,8.84,10.26,10.99
2024-8-14 16:57:37,1315.35,206.14,365.25,16.77,88.80,25.40,99.90,10.49,12.29,18.90
2024-8-14 17:12:19,832.58,141.81,258.61,16.77,91.80,25.30,99.90,4.63,6.96,12.03
2024-8-14 17:13:55,602.87,115.04,186.22,16.77,92.70,25.30,99.90,5.92,7.31,8.05
