timestamp,voltage,current,humidity,temperature,CO,NO2,SO2,PM1,PM2.5,PM10,WiFi
2024-09-03 16:39:21,4.29,-13.54,55.60,27.50,1571.59,213.01,586.62,0.00,0.00,0.00,1
2024-09-03 16:39:26,4.30,-13.86,55.60,27.50,1582.05,213.62,589.55,0.00,0.00,0.00,1
2024-09-03 16:39:31,4.30,-14.30,55.60,27.50,1571.59,212.71,582.71,0.00,0.00,0.00,1
2024-09-03 16:39:36,4.30,-14.70,55.60,27.50,1557.06,214.54,585.16,0.00,0.00,0.00,1
2024-09-03 16:39:41,4.30,-14.98,55.60,27.50,1571.01,210.88,583.20,0.00,0.00,0.00,1
2024-09-03 16:39:46,4.30,-15.58,55.60,27.50,1572.17,211.49,581.25,0.00,0.00,0.00,1
2024-09-03 16:39:51,4.30,-14.06,55.60,27.50,1551.83,206.91,581.25,0.00,0.00,0.00,1
2024-09-03 16:39:56,4.30,-14.66,55.60,27.50,1555.32,208.74,579.79,0.00,0.00,0.00,1
2024-09-03 16:40:01,4.30,-14.38,55.60,27.50,1559.38,212.71,584.18,0.00,0.00,0.00,1
2024-09-03 16:40:06,4.30,-14.48,55.60,27.50,1548.92,214.84,583.20,0.00,0.00,0.00,1
2024-09-03 16:40:11,4.29,-10.22,55.60,27.50,1515.21,199.89,572.46,0.00,0.00,0.00,1
2024-09-03 16:40:16,4.30,-13.96,55.60,27.50,1541.36,212.71,586.62,0.00,0.00,0.00,1
2024-09-03 16:40:21,4.30,-13.68,55.60,27.50,1543.69,210.88,580.27,0.00,0.00,0.00,1
2024-09-03 16:40:26,4.30,-14.16,55.60,27.50,1553.57,212.40,583.20,0.00,0.00,0.00,1
2024-09-03 16:40:31,4.30,-14.76,55.60,27.50,1555.90,213.62,581.25,0.00,0.00,0.00,1
2024-09-03 16:40:36,4.30,-15.00,55.60,27.50,1552.41,213.93,565.14,0.00,0.00,0.00,1
2024-09-03 16:40:41,4.30,-15.96,55.60,27.50,1550.67,212.40,587.60,0.00,0.00,0.00,1
2024-09-03 16:40:46,4.30,-16.66,55.60,27.50,1559.97,213.32,581.74,0.00,0.00,0.00,1
2024-09-03 16:40:51,4.30,-13.24,55.60,27.50,1540.20,209.05,582.23,0.00,0.00,0.00,1
2024-09-03 16:40:56,4.30,-14.84,55.60,27.50,1543.11,213.01,581.74,0.00,0.00,0.00,1
2024-09-03 16:41:01,4.30,-12.36,55.60,27.50,1531.48,205.38,574.41,0.00,0.00,0.00,1
2024-09-03 16:41:06,4.30,-15.18,55.60,27.50,1543.11,212.10,582.23,0.00,0.00,0.00,1
2024-09-03 16:41:11,4.30,-13.70,55.60,27.50,1535.55,208.44,578.81,0.00,0.00,0.00,1
2024-09-03 16:41:16,4.30,-15.26,55.60,27.50,1540.78,210.88,589.06,0.00,0.00,0.00,1
2024-09-03 16:41:21,4.30,-12.72,55.60,27.50,1538.46,208.13,584.18,0.00,0.00,0.00,1
2024-09-03 16:41:26,4.30,-14.70,55.60,27.50,1540.78,212.40,583.69,0.00,0.00,0.00,1
2024-09-03 16:41:31,4.30,-14.20,55.60,27.50,1540.78,211.79,590.04,0.00,0.00,0.00,1
2024-09-03 16:41:36,4.30,-15.46,55.60,27.50,1543.69,212.71,578.81,0.00,0.00,0.00,1
2024-09-03 16:41:41,4.30,-15.36,55.60,27.50,1542.53,212.71,583.69,0.00,0.00,0.00,1
2024-09-03 16:41:46,4.30,-14.18,55.60,27.50,1527.41,209.35,585.64,0.00,0.00,0.00,1
2024-09-03 16:41:51,4.30,-16.62,55.60,27.50,1536.13,208.44,592.48,0.00,0.00,0.00,1
2024-09-03 16:41:56,4.31,-15.02,55.60,27.50,1529.16,210.88,586.62,0.00,0.00,0.00,1
2024-09-03 16:42:01,4.30,-14.88,55.60,27.50,1527.41,213.32,584.67,0.00,0.00,0.00,1
2024-09-03 16:42:06,4.30,-13.04,55.60,27.50,1535.55,208.74,582.71,0.00,0.00,0.00,1
2024-09-03 16:42:11,4.30,-15.02,55.60,27.50,1546.60,211.79,577.34,0.00,0.00,0.00,1
2024-09-03 16:42:16,4.30,-13.74,55.60,27.50,1529.74,209.35,582.71,0.00,0.00,0.00,1
2024-09-03 16:42:21,4.30,-15.18,55.60,27.50,1539.04,210.57,573.93,0.00,0.00,0.00,1
2024-09-03 16:42:26,4.30,-14.70,55.60,27.50,1525.67,208.44,578.32,0.00,0.00,0.00,1
2024-09-03 16:42:31,4.30,-15.02,55.60,27.50,1537.88,209.96,586.62,0.00,0.00,0.00,1
2024-09-03 16:42:36,4.30,-15.14,55.60,27.50,1547.76,209.96,577.83,0.00,0.00,0.00,1
2024-09-03 16:42:41,4.30,-16.52,55.60,27.50,1558.80,212.40,585.16,0.00,0.00,0.00,1
2024-09-03 16:42:46,4.30,-13.72,55.60,27.50,1573.34,209.66,584.67,0.00,0.00,0.00,1
2024-09-03 16:42:51,4.30,-14.22,55.60,27.50,1566.94,213.93,579.30,0.00,0.00,0.00,1
2024-09-03 16:42:56,4.30,-14.64,55.60,27.50,1579.15,213.93,586.13,0.00,0.00,0.00,1
2024-09-03 16:43:01,4.31,-14.84,55.60,27.50,1590.19,214.54,588.09,0.00,0.00,0.00,1
2024-09-03 16:43:06,4.30,-15.16,55.60,27.50,1580.89,212.71,582.71,0.00,0.00,0.00,1
2024-09-03 16:43:11,4.29,-12.34,55.60,27.50,1582.64,207.21,582.23,0.00,0.00,0.00,1
2024-09-03 16:43:16,4.30,-12.96,55.60,27.50,1586.70,211.49,576.86,0.00,0.00,0.00,1
2024-09-03 16:43:21,4.30,-14.94,55.60,27.50,1588.45,210.27,587.11,0.00,0.00,0.00,1
2024-09-03 16:43:26,4.30,-15.52,55.60,27.50,1584.38,211.49,587.11,0.00,0.00,0.00,1
2024-09-03 16:43:31,4.31,-15.00,55.60,27.50,1586.12,211.18,589.06,0.00,0.00,0.00,1
2024-09-03 16:43:36,4.30,-14.92,55.60,27.50,1577.99,212.40,577.34,0.00,0.00,0.00,1
2024-09-03 16:43:41,4.30,-16.34,55.60,27.50,1568.68,213.62,588.09,0.00,0.00,0.00,1
2024-09-03 16:43:46,4.30,-13.76,55.60,27.50,1559.38,210.27,578.81,0.00,0.00,0.00,1
2024-09-03 16:43:51,4.31,-14.36,55.60,27.50,1559.38,211.49,579.30,0.00,0.00,0.00,1
2024-09-03 16:43:56,4.31,-12.32,55.60,27.50,1539.04,210.88,575.88,0.00,0.00,0.00,1
2024-09-03 16:44:01,4.30,-15.32,55.60,27.50,1561.71,210.57,586.13,0.00,0.00,0.00,1
2024-09-03 16:44:06,4.31,-15.88,55.60,27.50,1544.85,212.71,580.76,0.00,0.00,0.00,1
