timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-18 0:0:5,506.69,96.98,193.55,16.78,94.00,31.00,86.20,11.52,13.30,17.24
2024-7-18 0:1:42,513.72,102.83,197.42,16.78,90.40,30.90,86.70,15.39,18.18,23.56
2024-7-18 0:3:18,505.24,87.44,187.04,16.78,91.50,30.90,87.70,11.56,13.62,15.65
2024-7-18 0:4:54,519.78,93.55,203.52,16.78,93.20,30.90,88.30,14.53,16.26,16.68
2024-7-18 0:6:31,522.68,96.98,200.67,16.78,93.20,30.90,88.30,11.33,14.04,20.18
2024-7-18 0:8:7,528.26,91.64,208.20,16.78,93.10,30.90,88.10,11.04,14.12,21.13
2024-7-18 0:9:43,520.26,102.70,190.90,16.78,90.60,30.90,88.50,12.99,16.30,20.18
2024-7-18 0:11:20,526.56,97.62,206.17,16.78,92.70,30.90,87.20,11.12,12.80,14.41
2024-7-18 0:12:56,516.63,88.97,193.14,16.78,91.10,30.90,90.40,12.21,14.14,14.96
2024-7-18 0:14:32,517.35,95.58,198.43,16.78,93.10,30.90,90.60,14.10,15.46,16.01
2024-7-18 0:16:9,517.35,98.25,194.36,16.78,92.70,30.90,91.00,11.64,13.40,18.48
2024-7-18 0:17:45,503.54,91.77,194.36,16.78,93.30,30.90,91.10,13.47,16.70,29.28
2024-7-18 0:19:22,521.71,91.26,200.47,16.78,92.30,30.90,90.90,12.23,13.75,14.07
2024-7-18 0:20:58,519.53,100.41,187.24,16.79,92.70,30.90,90.60,10.61,12.32,18.40
2024-7-18 0:22:34,535.52,96.85,195.18,16.78,91.00,30.90,90.20,10.90,13.05,21.24
2024-7-18 0:24:11,546.18,102.96,197.42,16.78,93.60,30.90,90.50,10.77,12.69,19.80
2024-7-18 0:25:47,555.39,98.63,209.42,16.78,92.60,30.90,90.60,11.38,13.96,15.36
2024-7-18 0:27:23,552.00,99.40,194.57,16.78,91.70,30.90,90.40,10.86,12.59,24.74
2024-7-18 0:29:0,544.24,97.36,201.69,16.78,89.00,30.90,90.50,11.12,13.13,15.32
2024-7-18 0:30:36,549.57,94.56,199.25,16.78,90.90,30.90,90.70,11.05,13.82,19.61
2024-7-18 0:32:12,550.06,98.89,186.43,16.78,93.20,30.90,90.60,14.37,15.61,15.78
2024-7-18 0:33:49,553.45,98.38,194.57,16.78,89.30,30.90,90.30,10.32,12.54,16.04
2024-7-18 0:35:25,565.32,94.44,200.47,16.78,92.70,30.90,90.50,11.40,13.64,14.50
2024-7-18 0:37:1,562.17,100.16,199.25,16.78,93.00,30.90,90.60,9.44,12.69,20.21
2024-7-18 0:38:38,565.32,95.45,197.42,16.78,87.90,30.90,90.70,14.05,17.26,23.46
2024-7-18 0:40:14,569.68,98.89,199.25,16.78,93.70,30.90,90.70,16.78,18.58,19.27
2024-7-18 0:41:51,579.61,99.78,206.57,16.78,92.30,30.90,90.90,15.99,18.10,30.90
2024-7-18 0:43:27,576.95,94.69,195.58,16.78,92.20,30.90,90.70,182.00,185.79,186.83
