timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-14 0:0:54,402.04,104.10,204.33,16.79,87.90,29.70,90.70,16.34,17.96,18.54
2024-7-14 0:2:30,407.85,106.52,207.79,16.78,90.20,29.70,90.70,61.18,63.03,64.26
2024-7-14 0:4:6,398.40,96.09,201.08,16.79,91.70,29.70,90.80,22.31,24.47,34.72
2024-7-14 0:5:43,395.98,89.99,202.91,16.79,90.60,29.70,90.90,27.77,29.94,31.51
2024-7-14 0:7:19,407.61,97.49,199.25,16.79,92.20,29.70,90.90,124.56,127.22,128.60
2024-7-14 0:8:55,409.55,100.41,212.88,16.79,93.60,29.70,90.90,7.59,9.66,11.58
2024-7-14 0:10:32,405.19,99.14,203.93,16.79,92.10,29.70,90.90,123.22,125.19,125.23
2024-7-14 0:12:8,402.28,103.34,205.56,16.79,90.10,29.70,90.80,88.06,90.40,93.64
2024-7-14 0:13:44,391.13,95.71,202.10,16.79,93.30,29.70,89.50,77.73,80.78,89.02
2024-7-14 0:15:21,399.61,97.62,205.56,16.79,91.00,29.70,90.90,66.98,69.10,70.42
2024-7-14 0:16:57,412.70,100.92,209.83,16.79,90.30,29.60,90.90,110.46,113.18,113.49
2024-7-14 0:18:34,391.38,88.33,197.82,16.79,92.40,29.60,90.80,71.26,73.79,75.33
2024-7-14 0:20:10,389.44,97.23,201.08,16.79,93.50,29.60,90.70,78.70,81.97,88.67
2024-7-14 0:21:46,395.01,102.83,190.90,16.79,92.50,29.70,90.80,49.04,50.89,51.61
2024-7-14 0:23:23,394.53,101.94,195.38,16.79,89.50,29.60,90.80,85.11,87.10,87.34
2024-7-14 0:24:59,387.50,101.69,204.95,16.79,93.50,29.60,90.90,46.01,48.37,49.69
2024-7-14 0:26:35,391.13,99.14,204.33,16.79,90.60,29.60,91.30,61.52,64.79,87.31
2024-7-14 0:28:12,404.22,95.84,203.93,16.79,93.10,29.60,91.50,149.05,151.71,151.89
2024-7-14 0:29:48,406.15,102.70,204.54,16.79,91.20,29.60,91.70,8.97,10.99,15.23
2024-7-14 0:31:24,403.73,99.65,197.21,16.79,91.40,29.60,91.70,53.15,56.03,58.42
2024-7-14 0:33:1,389.20,101.43,187.85,16.79,92.90,29.60,91.70,51.03,52.10,52.11
2024-7-14 0:34:37,389.20,96.60,204.13,16.79,90.60,29.60,91.80,59.76,61.51,62.80
2024-7-14 0:36:13,401.79,107.54,199.65,16.78,88.30,29.60,91.50,60.68,62.38,62.55
2024-7-14 0:37:50,389.68,101.18,200.67,16.79,93.20,29.60,91.60,91.86,93.69,96.42
2024-7-14 0:39:26,406.40,102.20,208.40,16.79,92.30,29.60,91.70,16.11,16.86,21.64
2024-7-14 0:41:2,387.02,97.36,195.18,16.79,90.60,29.50,91.80,61.85,63.55,63.99
2024-7-14 0:42:39,392.83,98.13,198.84,16.79,90.40,29.50,91.60,17.47,19.00,19.67
2024-7-14 0:44:15,387.50,98.13,193.55,16.78,91.30,29.60,91.70,61.65,63.92,65.36
2024-7-14 0:45:52,389.92,104.36,188.67,16.79,91.10,29.60,91.90,68.37,70.22,71.01
2024-7-14 0:47:28,393.32,102.70,198.84,16.79,92.70,29.50,91.90,48.13,50.23,52.20
2024-7-14 0:49:4,392.83,97.62,202.71,16.78,91.30,29.50,91.90,88.68,90.64,90.80
2024-7-14 0:50:41,401.79,100.03,199.45,16.79,91.60,29.50,92.00,119.63,122.23,122.51
2024-7-14 0:52:17,386.77,95.33,203.32,16.79,93.60,29.50,91.90,33.36,35.31,44.68
2024-7-14 0:53:53,388.23,99.78,201.69,16.79,91.90,29.50,91.40,64.61,66.49,69.43
2024-7-14 0:55:30,392.83,104.99,194.16,16.79,90.00,29.50,91.10,100.38,103.00,103.68
2024-7-14 0:57:6,376.11,97.49,188.67,16.79,92.20,29.50,90.70,46.31,48.16,48.70
2024-7-14 0:58:42,397.68,103.59,206.98,16.79,92.00,29.50,90.40,77.97,80.38,81.72
2024-7-14 1:0:19,391.62,102.07,207.18,16.79,91.20,29.50,90.10,70.18,71.79,72.96
2024-7-14 1:1:55,386.29,95.20,199.65,16.79,90.00,29.50,90.00,30.40,33.06,37.91
