timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-13 13:7:16,334.20,82.10,130.67,16.34,93.30,28.70,61.40,6.80,11.46,37.30
2024-7-13 13:8:52,398.40,85.15,169.13,16.34,94.70,28.70,62.60,9.73,15.88,33.29
2024-7-13 13:10:29,397.19,91.77,162.41,16.34,92.00,28.70,40.20,11.85,20.74,28.44
timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-13 13:7:16,365.21,63.53,130.67,16.30,91.70,31.20,99.90,1.78,2.46,2.53
2024-7-13 13:8:52,402.76,69.76,159.56,16.31,97.40,31.40,99.90,44.01,53.43,100.92
2024-7-13 13:10:29,446.37,79.17,168.32,16.31,93.70,31.40,99.90,5.19,13.91,43.05
2024-7-13 13:12:5,436.44,87.95,163.63,16.31,94.30,31.20,99.90,7.81,16.14,31.72
2024-7-13 13:13:41,442.74,88.97,165.87,16.31,96.00,31.10,99.90,6.54,14.28,49.45
2024-7-13 13:15:18,417.54,79.30,171.16,16.31,94.50,30.80,99.90,4.92,11.48,26.01
2024-7-13 13:16:54,404.70,85.53,160.58,16.31,90.60,30.70,99.90,6.24,14.27,25.62
2024-7-13 13:18:31,446.37,78.67,173.00,16.30,91.40,30.60,99.90,6.97,15.29,26.58
2024-7-13 13:20:7,429.90,79.94,168.52,16.30,93.90,30.40,99.90,7.37,14.56,24.97
2024-7-13 13:21:43,430.62,78.92,169.74,16.26,144.90,30.30,99.90,8.13,19.65,61.26
2024-7-13 13:23:20,456.30,84.13,170.55,16.30,93.30,30.20,99.90,5.84,14.08,46.56
2024-7-13 13:24:56,469.87,80.57,166.48,16.30,94.50,30.10,99.90,5.19,14.20,75.08
2024-7-13 13:26:32,520.02,71.29,174.22,16.30,92.00,29.90,99.90,5.21,12.18,18.61
2024-7-13 13:28:9,467.45,84.90,163.84,16.29,94.60,29.80,99.90,7.14,14.10,21.02
2024-7-13 13:29:45,518.08,78.92,185.21,16.29,92.40,29.80,99.90,6.07,12.12,23.17
2024-7-13 13:31:21,494.58,84.26,177.07,16.30,96.00,29.70,99.90,49.81,57.10,78.68
2024-7-13 13:32:58,447.34,75.74,172.18,16.29,94.70,29.70,99.90,6.51,14.47,27.75
2024-7-13 13:34:34,454.37,80.95,173.61,16.29,94.70,29.60,99.90,6.26,10.85,15.85
2024-7-13 13:36:11,443.71,78.16,179.51,16.28,93.10,29.50,99.90,37.28,43.62,71.57
2024-7-13 13:37:47,428.93,85.79,175.64,16.28,94.20,29.60,99.90,41.63,47.74,63.37
2024-7-13 13:39:23,420.45,88.84,170.35,16.28,94.40,29.50,99.90,5.60,11.00,19.58
2024-7-13 13:41:0,393.56,73.45,173.40,16.28,90.90,29.40,99.90,6.56,11.11,16.57
2024-7-13 13:42:36,395.01,77.01,164.86,16.28,94.10,29.40,99.90,6.66,13.70,21.53
