timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-8-1 4:49:23,556.26,131.48,211.73,16.77,89.70,25.20,99.90,92.04,93.86,94.10
2024-8-1 4:50:59,489.01,111.86,187.44,16.77,91.40,25.20,99.90,105.83,108.02,109.32
2024-8-1 15:47:2,950.94,160.54,295.11,16.77,89.30,25.80,99.90,33.46,34.59,35.86
2024-8-1 15:48:38,629.52,112.50,203.93,16.77,90.80,25.80,99.90,11.84,12.95,14.60
2024-8-1 15:50:14,583.98,109.19,190.50,16.77,89.90,25.70,99.90,44.49,46.20,52.60
2024-8-1 15:51:51,561.44,106.14,185.21,16.77,91.00,25.70,99.90,9.29,9.96,11.13
2024-8-1 15:53:27,533.83,109.32,183.98,16.78,89.20,25.70,99.90,13.17,14.92,20.43
2024-8-1 15:55:4,536.01,108.55,192.12,16.77,92.70,25.70,99.90,71.53,72.68,72.72
2024-8-1 15:56:40,560.48,97.23,203.52,16.77,89.60,25.70,99.90,13.72,14.41,17.21
2024-8-1 15:58:17,541.34,106.27,194.16,16.77,93.20,25.70,99.90,48.72,50.02,51.38
2024-8-1 15:59:53,517.35,110.34,195.99,16.77,90.90,25.60,99.90,79.38,80.73,85.61
2024-8-1 16:1:30,487.07,107.16,189.28,16.77,90.40,25.70,99.90,83.08,84.01,84.01
2024-8-1 16:3:6,517.60,103.47,199.04,16.78,87.90,25.60,99.90,13.22,14.28,15.50
2024-8-1 16:4:43,556.12,107.54,182.15,16.77,87.60,25.60,99.90,90.24,91.89,113.83
2024-8-1 16:6:19,541.09,107.66,195.18,16.77,90.60,25.60,99.90,92.44,93.75,109.21
2024-8-1 16:54:30,943.92,160.54,302.23,16.77,90.00,25.00,99.90,14.65,15.85,16.21
2024-8-1 17:2:46,887.47,161.81,293.88,16.77,92.40,25.00,99.90,6.75,8.17,11.52
2024-8-1 18:11:36,748.23,111.10,193.96,16.77,91.90,23.70,99.90,6.97,9.20,12.01
2024-8-1 18:13:12,775.85,105.12,196.81,16.77,89.20,23.70,99.90,4.09,6.15,10.54
2024-8-1 18:14:49,779.24,111.86,205.56,16.77,89.40,23.90,99.90,5.44,7.54,9.84
2024-8-1 18:16:25,847.80,110.59,210.24,16.78,91.80,24.00,99.90,6.61,7.74,9.05
2024-8-1 18:18:2,777.30,113.26,217.36,16.77,91.50,24.00,99.90,4.76,6.74,13.42
2024-8-1 18:19:38,819.70,110.97,208.20,16.77,92.20,24.10,99.90,12.35,13.35,14.61
2024-8-1 18:21:14,884.86,113.01,214.51,16.77,91.50,24.00,99.90,13.69,16.68,36.55
2024-8-1 18:22:51,787.48,103.85,221.23,16.77,89.50,24.00,99.90,4.18,5.47,23.07
2024-8-1 18:24:27,825.03,101.69,209.22,16.77,90.60,24.10,99.90,6.37,7.86,9.62
2024-8-1 18:26:3,770.76,111.86,203.32,16.77,90.80,24.10,99.90,4.29,6.53,18.07
2024-8-1 18:27:40,784.33,117.84,197.21,16.77,87.90,24.20,99.90,5.92,7.51,11.61
2024-8-1 18:29:16,747.02,111.86,206.17,16.78,92.70,24.20,99.90,12.39,14.51,20.75
2024-8-1 18:30:52,681.12,107.16,205.76,16.78,91.20,24.30,99.90,6.51,7.99,10.43
2024-8-1 18:32:29,743.38,108.30,205.56,16.77,89.10,24.30,99.90,5.91,6.69,7.09
2024-8-1 18:34:5,745.32,109.95,202.71,16.77,92.20,24.40,99.90,5.36,7.11,11.58
2024-8-1 18:35:42,742.41,107.41,205.56,16.77,91.60,24.40,99.90,5.81,7.39,11.78
2024-8-1 18:37:18,969.41,111.99,223.06,16.77,90.40,24.50,99.90,6.87,9.61,10.85
2024-8-1 18:38:54,918.30,111.99,212.68,16.77,92.30,24.50,99.90,7.75,9.20,9.53
2024-8-1 18:40:31,858.22,104.23,215.93,16.77,91.20,24.40,99.90,5.81,7.45,8.58
2024-8-1 18:42:7,846.10,115.68,217.56,16.77,89.80,24.50,99.90,5.80,7.27,45.40
2024-8-1 18:43:43,819.94,109.83,206.17,16.77,88.40,24.50,99.90,5.87,7.24,15.95
2024-8-1 18:45:20,877.11,105.25,209.83,16.77,90.90,24.60,99.90,6.94,9.46,16.51
2024-8-1 18:46:56,1126.40,109.95,209.83,16.77,89.90,24.60,99.90,10.77,11.98,14.75
2024-8-1 18:48:32,983.47,104.74,206.98,16.77,91.00,24.70,99.90,31.59,33.87,53.32
2024-8-1 18:50:9,935.74,115.17,219.80,16.77,91.90,24.70,99.90,6.55,9.33,24.28
2024-8-1 18:51:45,871.06,109.32,213.09,16.77,94.40,24.70,99.90,29.71,30.94,35.81
2024-8-1 18:53:22,868.15,107.16,219.19,16.77,90.50,24.70,99.90,9.99,11.18,11.81
2024-8-1 18:54:58,801.77,110.97,215.32,16.78,93.80,24.70,99.90,6.55,8.43,10.88
2024-8-1 18:56:34,774.15,111.73,197.21,16.77,90.10,24.40,99.90,6.19,7.93,13.17
2024-8-1 18:58:11,735.15,113.51,209.22,16.77,90.60,24.30,99.90,5.86,7.05,8.23
2024-8-1 18:59:47,683.55,109.83,205.76,16.77,92.30,24.40,99.90,6.42,7.97,12.17
2024-8-1 19:1:23,785.78,107.41,212.27,16.77,89.60,24.50,99.90,8.20,10.06,12.41
2024-8-1 19:3:0,814.12,108.68,212.88,16.77,90.00,24.50,99.90,7.13,9.58,13.01
2024-8-1 19:4:36,770.76,103.34,207.18,16.77,91.00,24.60,99.90,6.68,8.16,10.89
2024-8-1 19:6:12,782.63,107.54,213.70,16.77,91.20,24.70,99.90,23.52,26.74,33.95
2024-8-1 19:7:49,764.46,107.54,212.47,16.77,93.50,24.70,99.90,17.81,18.69,19.86
2024-8-1 19:9:25,788.44,104.23,206.78,16.78,90.80,24.70,99.90,51.77,54.57,59.73
2024-8-1 19:11:2,762.28,112.12,214.31,16.77,91.00,24.80,99.90,6.16,8.62,19.45
2024-8-1 19:12:38,760.34,108.17,215.53,16.77,91.40,24.80,99.90,34.64,36.46,39.90
2024-8-1 19:14:14,744.84,108.94,207.59,16.77,90.50,24.80,99.90,87.26,91.05,99.54
2024-8-1 19:15:51,683.06,106.14,197.82,16.77,90.80,24.40,99.90,7.43,9.18,19.49
2024-8-1 19:17:27,889.95,103.09,215.12,16.78,92.10,24.40,99.90,11.24,13.08,32.12
2024-8-1 19:19:3,723.28,109.06,202.30,16.77,87.80,24.20,99.90,16.97,19.04,28.26
2024-8-1 19:20:40,669.01,105.25,211.05,16.77,92.80,24.20,99.90,29.00,32.48,37.47
2024-8-1 19:22:16,645.27,108.30,210.24,16.77,91.60,24.10,99.90,6.75,11.00,27.09
2024-8-1 19:23:52,644.54,108.68,204.13,16.78,90.30,24.10,99.90,15.96,18.47,31.22
2024-8-1 19:25:29,644.54,108.55,197.82,16.78,91.80,24.20,99.90,16.72,19.01,21.05
2024-8-1 19:27:5,660.77,102.32,201.89,16.77,94.50,24.20,99.90,6.27,9.28,17.20
2024-8-1 19:28:41,681.85,105.63,185.21,16.77,92.00,24.30,99.90,6.93,10.32,32.62
2024-8-1 19:30:18,741.69,105.25,205.76,16.77,90.00,24.30,99.90,23.31,26.41,48.66
2024-8-1 19:31:54,806.13,112.62,208.00,16.77,90.40,24.30,99.90,8.14,12.38,36.86
2024-8-1 19:33:31,759.86,111.61,213.09,16.77,91.30,24.40,99.90,6.56,8.42,22.27
2024-8-1 19:35:7,738.78,102.20,206.57,16.77,92.60,24.40,99.90,6.07,8.15,19.87
2024-8-1 19:36:43,717.95,107.66,209.22,16.77,90.30,24.40,99.90,6.46,10.29,22.29
2024-8-1 19:38:20,679.67,114.28,200.88,16.77,90.20,24.40,99.90,22.46,25.92,38.82
2024-8-1 19:39:56,704.86,104.36,210.44,16.77,92.20,24.40,99.90,6.69,8.81,13.51
2024-8-1 19:41:32,704.86,110.46,206.17,16.77,91.50,24.50,99.90,20.61,23.11,43.22
2024-8-1 19:43:9,706.32,105.12,198.03,16.77,93.20,24.50,99.90,20.59,24.00,37.51
2024-8-1 19:44:45,703.90,104.74,210.64,16.78,92.50,24.50,99.90,4.29,7.53,18.42
2024-8-1 19:46:21,701.96,111.61,216.54,16.77,90.20,24.50,99.90,5.82,9.22,16.88
2024-8-1 19:47:58,670.46,109.57,197.21,16.77,88.90,24.40,99.90,4.72,6.38,9.30
2024-8-1 19:49:34,672.89,105.25,203.93,16.77,92.40,24.40,99.90,5.85,8.36,18.64
2024-8-1 19:51:11,742.17,105.76,204.54,16.77,90.50,24.40,99.90,17.73,20.03,29.92
2024-8-1 19:52:47,676.03,104.99,217.36,16.77,93.00,24.40,99.90,4.00,6.44,27.07
2024-8-1 19:54:23,720.13,112.75,213.29,16.77,93.30,24.40,99.90,3.93,8.47,33.07
2024-8-1 19:56:0,743.87,110.84,192.53,16.77,92.30,24.40,99.90,5.05,6.73,18.23
2024-8-1 19:57:36,757.92,108.68,213.70,16.77,93.10,24.40,99.90,4.66,7.11,12.68
2024-8-1 19:59:12,696.14,108.17,204.54,16.77,89.50,24.40,99.90,7.17,9.10,27.57
2024-8-1 20:0:49,682.09,106.77,208.40,16.77,90.90,24.40,99.90,3.83,7.07,21.21
