timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-8-15 0:56:18,717.54,177.36,290.70,16.77,91.00,22.40,99.90,23.18,25.82,33.11
2024-8-15 4:51:30,682.58,106.14,188.26,16.77,92.50,23.70,99.90,5.47,8.75,14.25
2024-8-15 4:53:6,726.91,106.90,201.28,16.78,93.80,23.80,99.90,4.95,8.63,13.15
2024-8-15 4:54:43,742.66,107.92,202.30,16.78,90.40,23.90,99.90,7.74,13.07,27.86
2024-8-15 4:56:19,702.44,112.88,198.03,16.77,92.00,23.90,99.90,5.55,10.83,51.20
2024-8-15 4:57:56,669.49,114.91,186.63,16.77,90.10,24.00,99.90,8.25,11.01,27.24
2024-8-15 4:59:32,677.97,111.35,184.80,16.77,88.30,24.20,99.90,12.33,14.81,22.51
2024-8-15 5:1:9,713.83,106.01,198.03,16.77,90.90,24.30,99.90,13.42,17.27,18.71
2024-8-15 5:2:46,784.08,112.37,204.95,16.77,92.00,24.40,99.90,12.87,17.05,32.03
2024-8-15 5:4:22,688.63,113.39,195.18,16.78,91.40,24.50,99.90,11.38,15.95,29.37
2024-8-15 5:34:38,579.13,105.88,201.89,16.79,92.90,28.20,81.20,8.38,11.41,48.20
2024-8-15 5:36:15,568.47,111.99,190.09,16.80,91.80,28.30,80.60,32.14,38.13,47.87
2024-8-15 5:37:51,554.66,105.50,190.50,16.80,88.90,28.50,80.50,23.91,29.71,37.00
2024-8-15 6:41:35,780.05,170.75,313.29,16.79,90.20,30.70,64.90,4.71,7.77,17.52
2024-8-15 6:43:11,468.17,103.98,195.58,16.79,91.80,30.90,32.50,4.90,8.85,11.41
2024-8-15 6:44:48,447.82,95.45,195.18,16.80,92.00,31.10,60.40,4.48,8.07,18.67
2024-8-15 6:46:24,445.89,97.49,185.82,16.80,92.00,31.40,36.00,5.79,9.90,31.82
2024-8-15 6:48:1,418.99,105.25,172.59,16.80,90.40,31.30,90.20,6.78,12.36,22.04
2024-8-15 6:56:48,610.91,133.93,256.37,16.79,94.90,31.60,99.90,25.85,31.01,45.60
2024-8-15 6:58:25,478.83,103.34,191.92,16.78,90.80,31.10,99.90,19.18,24.40,36.70
2024-8-15 7:0:1,448.55,107.28,181.34,16.78,92.70,30.80,84.80,17.98,22.80,36.21
2024-8-15 7:1:37,456.30,105.50,180.53,16.78,92.80,30.60,49.20,40.10,46.09,62.23
2024-8-15 7:3:14,458.48,96.98,192.33,16.79,91.80,30.30,34.40,28.61,32.81,35.92
2024-8-15 14:33:14,970.12,196.22,344.29,16.54,92.50,27.90,99.90,178.02,181.57,181.96
2024-8-15 14:35:0,550.30,99.78,185.82,16.52,92.00,27.90,99.90,4.94,6.68,16.52
