timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-30 0:0:6,448.31,101.43,188.26,16.77,89.20,22.60,99.90,5.79,7.75,11.91
2024-7-30 0:1:43,451.46,111.23,189.68,16.77,93.00,22.70,99.90,6.78,8.88,13.16
2024-7-30 0:3:19,435.23,108.17,174.83,16.77,90.80,22.80,99.90,4.62,5.93,23.18
2024-7-30 0:4:56,430.38,105.50,183.17,16.77,90.70,22.70,99.90,8.35,12.50,32.43
2024-7-30 0:6:32,432.56,108.81,187.04,16.77,89.80,22.70,99.90,4.99,8.11,10.79
2024-7-30 0:8:9,423.60,99.52,189.28,16.77,91.10,22.60,99.90,22.38,25.64,30.25
2024-7-30 0:25:13,687.60,155.58,270.69,16.75,125.00,21.90,99.90,35.74,39.53,43.87
2024-7-30 0:26:49,424.81,112.88,163.43,16.77,90.60,22.10,99.90,28.76,32.44,37.12
2024-7-30 0:28:26,430.87,100.54,185.61,16.77,89.40,22.00,99.90,36.92,41.37,51.34
2024-7-30 0:30:2,431.11,108.68,182.97,16.77,90.30,22.20,99.90,28.35,32.81,56.84
2024-7-30 0:31:39,428.44,108.43,188.26,16.77,90.00,22.20,99.90,32.30,35.56,53.87
2024-7-30 0:33:15,434.26,108.30,180.32,16.77,89.70,22.20,99.90,24.49,27.29,31.78
2024-7-30 0:34:51,437.41,98.76,183.37,16.77,92.70,22.20,99.90,8.09,11.36,15.79
2024-7-30 4:11:47,478.11,107.28,186.63,16.77,89.50,22.20,99.90,23.00,27.80,37.62
2024-7-30 4:13:24,506.45,111.35,187.65,16.77,89.30,22.50,99.90,8.76,12.47,25.64
2024-7-30 4:15:0,530.92,104.87,191.72,16.77,93.20,22.80,99.90,11.01,14.44,15.93
2024-7-30 4:16:37,541.58,104.74,186.63,16.77,89.30,23.00,99.90,7.87,11.16,15.95
2024-7-30 4:18:13,576.47,107.79,195.38,16.77,90.80,23.10,99.90,8.23,12.19,45.75
2024-7-30 4:19:49,552.48,104.36,191.51,16.78,91.40,23.30,99.90,9.20,14.37,33.57
2024-7-30 4:21:26,562.90,111.10,187.85,16.78,88.80,23.30,99.90,9.51,13.22,20.59
2024-7-30 4:23:2,562.17,107.66,188.87,16.77,89.00,23.20,99.90,10.62,13.72,16.44
2024-7-30 4:24:39,616.92,109.32,196.60,16.77,90.50,23.40,99.90,11.44,15.07,28.22
2024-7-30 4:26:15,610.38,107.66,190.70,16.77,91.50,23.40,99.90,12.01,16.82,35.36
2024-7-30 4:27:51,585.67,111.73,188.26,16.77,91.20,23.40,99.90,9.70,13.35,23.79
2024-7-30 4:29:28,586.88,109.06,195.58,16.78,90.90,23.60,99.90,9.50,11.52,12.44
2024-7-30 4:31:4,614.74,107.66,191.72,16.77,92.00,23.70,99.90,9.67,14.34,23.16
2024-7-30 4:32:40,634.85,109.32,198.43,16.78,88.00,23.70,99.90,8.54,12.56,17.52
2024-7-30 4:34:17,623.71,111.48,199.65,16.77,87.90,23.80,99.90,10.11,15.35,32.88
2024-7-30 4:35:53,600.93,111.48,185.41,16.78,92.00,23.90,99.90,12.48,16.77,21.38
2024-7-30 4:37:30,609.41,106.65,194.57,16.77,91.10,24.00,99.90,13.61,18.28,28.62
2024-7-30 4:39:6,785.78,116.06,193.14,16.78,89.80,24.00,99.90,10.94,15.31,36.95
2024-7-30 4:40:42,714.07,114.02,192.33,16.78,93.00,23.80,99.90,8.84,12.90,26.74
2024-7-30 4:42:19,630.97,110.97,191.51,16.78,92.60,23.80,99.90,17.06,20.32,27.19
2024-7-30 4:43:55,717.95,111.99,204.74,16.78,93.30,23.90,99.90,46.60,53.28,77.35
2024-7-30 4:45:32,710.68,113.26,205.56,16.78,89.40,23.80,99.90,85.26,88.68,101.73
2024-7-30 4:47:8,588.58,105.50,189.28,16.78,89.10,23.80,99.90,183.45,189.46,197.86
