timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-8-10 2:26:48,738.76,198.25,341.24,16.76,91.90,23.70,99.90,6.94,10.85,21.27
2024-8-10 2:28:24,400.10,111.73,182.36,16.77,90.30,23.70,99.90,6.37,9.25,27.00
2024-8-10 11:6:36,772.05,172.40,318.78,16.78,90.30,30.90,82.40,4.06,8.24,23.47
2024-8-10 18:53:22,697.11,106.90,198.64,16.77,92.50,25.90,99.90,10.49,18.20,30.74
2024-8-10 18:54:59,494.58,104.48,199.45,16.77,88.60,25.80,99.90,12.36,21.12,43.56
