timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-24 0:1:15,420.93,101.94,181.75,16.78,91.30,24.30,99.90,9.75,25.99,450.91
2024-7-24 0:2:51,434.50,103.72,188.26,16.77,90.90,24.30,99.90,15.00,35.02,169.67
2024-7-24 0:4:28,433.29,109.57,178.29,16.78,91.80,24.40,99.90,6.61,59.38,2357.07
2024-7-24 0:6:4,413.18,104.61,189.68,16.77,88.50,24.40,99.90,9.42,27.71,376.57
2024-7-24 0:7:41,417.78,102.83,180.32,16.77,90.70,24.40,99.90,6.23,44.69,1786.36
2024-7-24 0:9:17,433.05,105.50,180.73,16.77,92.20,24.40,99.90,12.74,36.13,205.52
2024-7-24 0:10:53,417.06,102.70,177.68,16.77,89.40,24.40,99.90,14.67,38.06,200.37
2024-7-24 0:12:30,430.87,101.18,189.48,16.77,89.20,24.40,99.90,13.31,36.17,105.37
2024-7-24 0:14:6,426.50,105.25,178.49,16.77,92.20,24.30,99.90,13.72,33.36,76.65
2024-7-24 0:15:42,415.85,102.07,169.54,16.78,92.60,24.20,99.90,12.95,37.70,72.75
2024-7-24 0:17:19,418.27,106.14,167.50,16.77,87.80,24.30,99.90,15.10,32.98,78.51
2024-7-24 0:18:55,435.95,109.57,186.43,16.77,91.80,24.20,99.90,11.20,81.61,1942.09
2024-7-24 0:20:32,423.84,102.45,186.02,16.77,90.70,24.20,99.90,12.56,76.23,1746.52
2024-7-24 0:22:8,429.17,98.00,193.55,16.77,91.90,24.10,99.90,9.59,148.91,6093.11
2024-7-24 0:23:44,421.18,102.45,175.64,16.77,90.10,24.00,99.90,9.41,133.69,5252.42
2024-7-24 0:25:21,403.49,111.23,166.48,16.77,92.90,24.00,99.90,8.43,54.73,609.10
2024-7-24 0:26:57,425.05,105.88,191.72,16.77,91.40,24.00,99.90,8.99,76.50,1461.16
2024-7-24 0:28:34,391.38,105.25,173.00,16.77,91.70,24.10,99.90,9.48,42.40,444.48
2024-7-24 0:30:10,418.75,105.88,175.44,16.77,91.60,24.10,99.90,9.10,53.25,577.50
2024-7-24 0:31:46,422.87,100.67,177.88,16.77,91.40,24.10,99.90,9.09,37.11,180.26
2024-7-24 0:33:23,421.18,103.21,182.56,16.77,90.50,23.90,99.90,10.18,36.70,80.56
2024-7-24 0:34:59,421.18,110.72,181.95,16.77,88.80,23.90,99.90,11.25,31.67,66.74
2024-7-24 0:36:35,423.84,104.87,182.36,16.77,93.00,24.00,99.90,9.55,103.30,2332.38
2024-7-24 0:38:12,427.47,110.34,182.76,16.77,92.60,24.00,99.90,10.04,100.60,2770.54
2024-7-24 0:39:48,417.06,106.39,188.26,16.77,90.80,24.00,99.90,9.62,208.67,4595.77
2024-7-24 0:41:25,404.70,104.87,167.30,16.77,89.00,24.10,99.90,9.77,57.49,1032.50
2024-7-24 0:43:1,435.23,101.81,190.70,16.77,90.90,24.10,99.90,9.50,74.00,2012.91
2024-7-24 0:44:37,413.42,106.14,182.97,16.77,92.70,24.10,99.90,9.47,43.40,556.50
2024-7-24 0:46:14,415.85,104.23,173.61,16.77,88.40,24.10,99.90,9.47,120.25,2610.22
2024-7-24 0:47:50,419.48,97.87,172.39,16.77,89.90,24.10,99.90,9.31,32.05,115.57
2024-7-24 0:49:27,399.61,109.83,170.15,16.77,89.70,24.10,99.90,8.70,32.49,143.91
2024-7-24 0:51:3,434.74,106.27,183.58,16.78,93.50,24.20,99.90,10.12,28.66,85.52
2024-7-24 0:52:39,423.36,107.79,186.22,16.77,90.40,24.20,99.90,9.19,36.95,138.74
2024-7-24 0:54:16,426.26,101.56,190.09,16.77,93.70,24.20,99.90,10.08,38.40,385.42
2024-7-24 0:55:52,404.70,93.80,182.76,16.77,90.80,24.20,99.90,9.28,29.61,141.48
2024-7-24 0:57:28,424.08,105.12,175.03,16.77,92.10,24.30,99.90,11.50,30.03,124.00
2024-7-24 0:59:5,427.23,95.07,185.82,16.77,90.70,24.40,99.90,12.70,63.80,1088.86
2024-7-24 1:0:41,421.66,107.03,174.62,16.77,91.20,24.40,99.90,17.00,37.70,159.97
2024-7-24 1:2:18,422.63,99.02,182.56,16.77,92.60,24.50,99.90,13.80,34.11,90.05
2024-7-24 1:3:54,432.32,108.43,199.65,16.77,91.70,24.50,99.90,13.68,34.76,96.84
2024-7-24 1:5:30,427.96,99.02,190.09,16.77,89.50,24.50,99.90,9.14,46.12,566.52
2024-7-24 1:7:7,419.24,104.99,169.74,16.77,91.20,24.50,99.90,13.74,59.59,863.41
2024-7-24 1:8:43,424.81,105.37,175.84,16.77,91.30,24.50,99.90,15.04,70.95,843.34
2024-7-24 1:10:19,421.66,102.58,187.24,16.77,90.80,24.50,99.90,14.59,34.68,92.06
2024-7-24 1:11:56,425.54,107.79,188.05,16.78,90.90,24.50,99.90,13.71,36.68,124.71
2024-7-24 1:13:32,434.74,104.10,183.37,16.77,89.60,24.60,99.90,8.36,28.08,77.64
2024-7-24 1:15:9,425.29,109.57,169.94,16.77,91.50,24.60,99.90,8.65,27.88,134.79
2024-7-24 1:16:45,429.65,100.67,182.97,16.77,90.90,24.60,99.90,10.09,101.53,2803.51
2024-7-24 1:18:21,434.74,107.41,182.76,16.77,92.70,24.70,99.90,9.39,52.77,1236.64
2024-7-24 1:19:58,436.20,105.88,187.65,16.77,91.30,24.70,99.90,8.01,99.56,4675.78
2024-7-24 1:21:34,427.23,108.05,175.64,16.78,93.10,24.70,99.90,8.08,93.04,4296.48
2024-7-24 1:23:11,440.31,108.17,180.93,16.77,92.10,24.70,99.90,7.48,26.27,332.80
2024-7-24 1:24:47,416.33,103.85,170.76,16.77,92.30,24.70,99.90,10.08,40.74,540.44
2024-7-24 1:26:23,423.11,107.92,172.79,16.77,87.30,24.70,99.90,7.33,31.79,487.18
2024-7-24 1:28:0,435.23,94.44,189.28,16.77,92.80,24.70,99.90,7.74,21.33,46.81
2024-7-24 1:29:36,419.48,99.40,178.69,16.78,90.40,24.80,99.90,12.16,110.42,7360.85
2024-7-24 1:31:12,427.72,104.48,174.83,16.77,93.60,24.70,99.90,9.26,91.49,5928.31
2024-7-24 1:32:49,429.41,107.79,175.03,16.77,89.40,24.80,99.90,12.52,117.71,10812.84
2024-7-24 1:34:25,431.83,104.87,182.36,16.77,89.90,24.80,99.90,7.77,78.76,8241.80
2024-7-24 1:36:2,426.02,99.27,178.29,16.77,89.40,24.90,99.90,5.63,54.94,3890.78
2024-7-24 1:37:38,415.12,98.89,178.29,16.77,91.10,24.90,99.90,18.90,53.90,2670.96
2024-7-24 1:39:14,427.23,108.68,173.00,16.77,88.60,24.90,99.90,5.33,41.85,2970.84
2024-7-24 1:40:51,435.47,109.32,182.56,16.77,90.00,24.90,99.90,33.06,63.24,2217.32
2024-7-24 1:42:27,437.89,110.08,177.07,16.77,93.70,24.80,99.90,6.36,34.57,1576.45
2024-7-24 1:44:4,442.01,104.74,174.22,16.78,90.30,24.90,99.90,21.83,91.54,5210.70
2024-7-24 1:45:40,468.17,107.66,195.58,16.77,90.40,24.90,99.90,27.96,82.51,3427.44
2024-7-24 1:47:16,430.14,100.92,173.40,16.77,93.60,24.90,99.90,42.04,69.88,1646.06
2024-7-24 1:48:53,423.36,103.34,179.30,16.78,91.40,25.00,99.90,5.23,18.57,436.73
2024-7-24 1:50:29,427.72,101.94,180.93,16.78,91.40,24.90,99.90,6.52,30.03,731.34
2024-7-24 1:52:5,445.64,107.16,189.68,16.78,91.50,24.90,99.90,10.35,14.80,35.93
2024-7-24 1:53:42,441.04,103.85,194.57,16.78,91.00,24.90,99.90,10.16,16.18,29.28
2024-7-24 1:55:18,429.65,102.83,179.71,16.77,90.60,24.90,99.90,29.57,35.86,56.36
2024-7-24 1:56:55,433.05,107.66,184.80,16.77,90.50,24.90,99.90,43.71,49.01,51.98
2024-7-24 1:58:31,429.41,103.98,182.15,16.77,89.60,24.90,99.90,13.99,19.93,30.10
2024-7-24 2:0:7,440.56,103.85,189.68,16.77,89.00,24.80,99.90,51.38,56.79,63.07
2024-7-24 2:1:44,429.17,104.99,186.63,16.77,92.00,24.90,99.90,16.38,20.87,27.80
2024-7-24 2:3:20,430.38,100.80,183.37,16.77,91.00,24.80,99.90,7.71,12.05,17.53
2024-7-24 2:4:56,416.57,105.88,181.14,16.78,91.30,24.90,99.90,8.10,13.10,31.91
2024-7-24 2:6:33,426.50,96.09,183.17,16.77,92.40,24.80,99.90,8.49,13.38,33.48
2024-7-24 2:8:9,439.10,115.30,181.54,16.78,93.20,24.90,99.90,7.97,12.36,15.94
2024-7-24 2:9:45,431.83,99.91,177.47,16.78,92.10,24.90,99.90,34.51,39.81,50.58
2024-7-24 2:11:22,423.84,107.28,183.78,16.77,90.10,24.90,99.90,8.27,12.51,18.56
2024-7-24 2:12:58,400.58,106.14,171.16,16.77,88.60,24.90,99.90,8.59,12.03,17.80
2024-7-24 2:14:35,431.83,103.98,176.05,16.78,92.30,24.90,99.90,51.52,58.25,65.59
2024-7-24 2:16:11,409.30,105.76,177.47,16.77,90.50,24.90,99.90,11.90,16.58,19.03
2024-7-24 2:17:47,440.56,99.65,188.05,16.78,89.80,24.90,99.90,36.90,42.24,47.96
2024-7-24 2:19:24,433.05,106.77,176.66,16.77,91.30,24.90,99.90,10.11,17.19,35.83
2024-7-24 2:21:0,421.90,103.47,175.44,16.77,91.30,24.90,99.90,39.58,45.48,56.96
2024-7-24 2:22:36,434.74,108.05,186.83,16.77,89.10,24.90,99.90,9.62,14.51,22.45
2024-7-24 2:24:13,423.84,100.41,176.46,16.78,92.30,24.90,99.90,8.65,14.64,20.12
2024-7-24 2:25:49,420.69,94.69,178.08,16.77,91.20,24.80,99.90,8.73,14.43,21.69
2024-7-24 2:27:25,437.89,105.50,177.88,16.77,90.10,24.70,99.90,6.58,56.92,1284.87
2024-7-24 2:29:2,438.13,103.98,181.75,16.77,90.90,24.70,99.90,4.58,36.59,901.74
2024-7-24 2:30:38,436.20,107.92,186.22,16.78,91.30,24.70,99.90,5.15,37.76,970.43
2024-7-24 2:32:15,429.65,95.20,177.88,16.78,88.40,24.60,99.90,7.09,77.43,3378.01
2024-7-24 2:33:51,427.23,100.29,182.36,16.77,91.20,24.60,99.90,7.28,34.44,878.28
2024-7-24 2:35:27,434.50,102.96,179.10,16.77,91.30,24.70,99.90,6.66,65.64,5237.19
2024-7-24 2:37:4,421.90,103.21,176.25,16.77,92.90,24.70,99.90,6.87,55.64,3247.81
2024-7-24 2:38:40,418.99,106.01,176.05,16.77,89.20,24.60,99.90,6.73,45.43,2471.47
2024-7-24 2:40:17,428.44,103.34,187.85,16.78,90.70,24.60,99.90,3.78,17.66,504.73
2024-7-24 2:41:53,424.57,110.84,182.97,16.77,91.70,24.60,99.90,3.95,71.56,4333.64
2024-7-24 2:43:29,434.50,104.36,184.19,16.77,88.00,24.50,99.90,5.21,80.52,5267.31
2024-7-24 2:45:6,432.80,99.02,187.65,16.77,91.00,24.50,99.90,4.77,68.30,6327.44
2024-7-24 2:46:42,425.78,102.45,181.14,16.78,88.90,24.40,99.90,6.24,82.64,9224.80
2024-7-24 2:48:18,431.11,101.81,187.04,16.77,92.10,24.30,99.90,9.55,67.01,5122.62
2024-7-24 2:49:55,426.26,107.03,186.02,16.77,93.20,24.30,99.90,12.14,102.23,12148.71
2024-7-24 2:51:31,439.34,100.54,185.21,16.77,93.80,24.30,99.90,4.44,67.29,6587.56
2024-7-24 2:53:8,416.81,101.18,181.54,16.77,91.50,24.20,99.90,8.75,90.37,8252.00
2024-7-24 2:54:44,431.59,104.74,189.48,16.77,92.60,24.30,99.90,7.18,82.41,7276.41
2024-7-24 2:56:20,420.93,104.74,188.67,16.77,91.80,24.20,99.90,9.00,82.59,5525.88
2024-7-24 2:57:57,424.81,104.74,180.93,16.77,90.00,24.30,99.90,4.38,125.52,6950.21
2024-7-24 2:59:33,440.80,104.87,186.22,16.77,92.50,24.30,99.90,4.69,31.03,823.81
2024-7-24 3:1:10,415.85,106.52,175.23,16.77,91.60,24.30,99.90,5.37,67.53,3128.79
2024-7-24 3:2:46,440.31,106.01,180.93,16.77,88.70,24.30,99.90,10.94,67.82,2690.15
2024-7-24 3:4:22,423.11,102.96,182.36,16.77,90.60,24.20,99.90,5.78,158.37,8456.73
2024-7-24 3:5:59,411.24,98.63,180.12,16.78,91.70,24.20,99.90,5.73,82.57,6693.43
2024-7-24 3:7:35,421.90,101.30,185.00,16.77,94.00,24.20,99.90,5.54,48.31,3067.75
2024-7-24 3:9:12,420.45,106.14,170.15,16.77,93.00,24.20,99.90,5.94,35.79,1554.84
2024-7-24 3:10:48,420.21,101.94,185.41,16.77,91.70,24.30,99.90,6.43,116.18,7460.82
2024-7-24 3:12:24,456.79,107.16,172.18,16.77,92.00,24.30,99.90,5.76,29.34,722.23
2024-7-24 3:14:1,441.77,110.08,179.30,16.77,88.90,24.30,99.90,5.18,24.10,502.44
2024-7-24 3:15:37,444.19,100.29,179.71,16.77,98.70,24.40,99.90,5.38,21.77,736.27
2024-7-24 3:17:13,452.91,101.94,188.05,16.77,90.70,24.30,99.90,10.08,39.33,2795.26
2024-7-24 3:18:50,446.37,102.45,182.56,16.77,93.10,24.50,99.90,12.81,23.35,120.77
2024-7-24 3:20:26,444.67,100.41,173.61,16.77,89.50,24.50,99.90,8.60,23.13,229.66
2024-7-24 3:22:3,446.61,99.91,184.39,16.77,89.40,24.60,99.90,7.69,47.51,4237.64
2024-7-24 3:23:39,454.85,108.81,178.08,16.77,90.90,24.60,99.90,6.51,55.13,8306.03
2024-7-24 3:25:15,445.40,105.76,189.89,16.77,92.00,24.70,99.90,5.61,34.95,2671.91
2024-7-24 3:26:52,456.06,107.16,182.36,16.78,91.10,24.70,99.90,6.58,55.78,4588.57
2024-7-24 3:28:28,459.45,100.54,176.86,16.77,89.90,24.60,99.90,8.00,58.83,3850.67
2024-7-24 3:30:5,468.90,97.87,183.78,16.77,91.10,24.70,99.90,6.57,21.59,939.98
2024-7-24 3:31:41,462.36,101.56,170.15,16.77,91.00,24.70,99.90,8.12,30.45,2445.61
2024-7-24 3:33:17,435.47,102.32,178.08,16.78,94.00,24.70,99.90,6.63,16.81,481.89
2024-7-24 3:34:54,447.10,95.96,191.92,16.77,90.60,24.70,99.90,4.79,14.10,472.73
2024-7-24 3:36:30,461.88,109.19,192.12,16.78,92.10,24.60,99.90,5.06,12.39,126.27
2024-7-24 3:38:7,449.28,105.25,180.53,16.77,89.00,24.70,99.90,4.53,9.89,17.10
2024-7-24 3:39:43,438.86,101.56,178.49,16.77,89.70,24.70,99.90,5.03,11.47,35.10
2024-7-24 3:41:19,452.67,107.28,183.98,16.77,90.60,24.70,99.90,5.66,13.42,165.13
2024-7-24 3:42:56,436.92,99.02,179.51,16.77,92.10,24.60,99.90,5.15,27.51,1187.26
2024-7-24 3:44:32,442.01,100.16,168.32,16.77,88.10,24.50,99.90,11.50,44.57,1688.10
2024-7-24 3:46:8,447.34,100.92,193.35,16.77,91.70,24.50,99.90,13.21,35.55,1230.76
2024-7-24 3:47:45,442.74,98.25,183.98,16.77,93.30,24.30,99.90,10.03,38.98,1849.95
2024-7-24 3:49:21,446.37,107.16,182.36,16.77,90.30,24.30,99.90,4.03,40.72,2605.56
2024-7-24 3:50:58,443.71,110.08,191.11,16.77,91.60,24.10,99.90,3.85,24.37,1100.97
2024-7-24 3:52:34,441.28,104.74,187.04,16.78,91.70,24.10,99.90,5.17,23.43,995.26
2024-7-24 3:54:10,438.86,103.09,176.05,16.77,90.10,24.10,99.90,4.52,5.99,48.16
2024-7-24 3:55:47,445.16,101.05,183.58,16.78,92.60,24.10,99.90,5.68,62.50,2418.46
2024-7-24 3:57:23,462.36,103.85,185.21,16.77,90.20,24.10,99.90,5.26,53.26,2245.15
2024-7-24 3:58:59,459.21,106.52,176.46,16.77,88.80,24.10,99.90,4.03,14.30,631.15
2024-7-24 4:0:36,462.84,105.37,182.76,16.77,91.40,24.10,99.90,4.93,24.53,1036.38
2024-7-24 4:2:12,450.49,108.94,192.33,16.78,93.00,24.10,99.90,4.94,44.37,2940.73
2024-7-24 4:3:49,448.55,104.74,178.49,16.77,92.10,24.10,99.90,4.71,35.41,2043.56
