timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-20 7:11:4,478.59,106.52,190.50,16.80,88.70,31.30,91.20,5.53,6.23,6.38
2024-7-20 7:12:40,477.38,107.54,194.16,16.81,92.60,31.40,91.30,32.93,33.72,33.74
2024-7-20 7:14:17,469.63,104.10,195.99,16.82,67.50,31.50,79.30,3.25,3.65,3.67
2024-7-20 7:15:53,479.80,92.40,199.86,16.81,89.70,31.40,77.50,28.56,30.84,32.78
2024-7-20 7:17:29,458.24,101.18,189.28,16.81,66.40,31.50,79.50,1.43,2.62,6.88
2024-7-20 7:19:6,446.61,105.50,183.17,16.81,66.00,31.50,75.50,2.25,2.93,3.36
2024-7-20 11:13:9,621.32,142.58,250.26,16.78,93.90,26.80,99.90,39.35,55.52,551.32
2024-7-20 11:14:46,452.18,104.61,186.22,16.78,93.10,26.80,99.90,94.31,176.76,9599.67
2024-7-20 11:16:22,462.84,112.24,190.29,16.78,93.70,26.70,99.90,60.74,129.58,9169.12
2024-7-20 11:17:59,442.49,103.59,188.87,16.78,89.90,26.80,99.90,53.32,88.20,3358.51
2024-7-20 11:19:35,471.32,100.16,197.62,16.78,90.30,26.90,99.90,23.54,62.65,3490.61
2024-7-20 11:21:11,471.32,107.79,177.88,16.78,88.20,26.70,99.90,26.12,44.77,1583.25
2024-7-20 11:22:48,454.61,115.30,179.30,16.79,68.00,26.60,99.90,38.09,105.27,6242.67
2024-7-20 11:24:24,470.35,105.37,183.78,16.78,94.40,26.40,99.90,43.97,109.61,10150.27
2024-7-20 11:26:0,470.84,106.14,190.90,16.78,91.60,26.10,99.90,16.11,100.10,16781.37
2024-7-20 11:27:37,482.71,103.21,194.77,16.78,92.90,26.00,99.90,5.27,76.74,17077.62
2024-7-20 11:29:13,472.53,103.72,186.83,16.78,92.00,26.00,99.90,40.93,123.60,15123.76
2024-7-20 11:30:50,453.88,103.98,194.16,16.78,90.20,25.90,99.90,62.59,128.28,5438.54
2024-7-20 11:32:26,454.12,104.36,182.56,16.78,92.30,25.80,99.90,14.18,85.44,16206.41
2024-7-20 11:34:2,481.74,107.66,191.92,16.78,90.30,25.90,99.90,15.67,84.86,13083.64
2024-7-20 11:35:39,467.45,111.99,178.08,16.78,88.30,25.90,99.90,47.30,111.07,10795.62
2024-7-20 11:37:15,467.93,107.16,192.33,16.77,90.60,25.80,99.90,9.86,79.03,13249.32
2024-7-20 11:38:52,528.74,100.92,200.06,16.78,91.30,25.80,99.90,137.93,186.88,7374.65
2024-7-20 11:40:28,494.82,108.55,194.77,16.78,90.90,25.70,99.90,130.19,176.61,8032.02
2024-7-20 11:42:4,510.09,109.57,197.82,16.78,89.80,25.70,99.90,79.36,123.33,7431.90
2024-7-20 11:43:41,497.25,102.32,184.39,16.78,90.50,25.70,99.90,12.60,48.62,6305.25
2024-7-20 11:45:17,489.98,104.23,186.83,16.78,89.90,25.70,99.90,45.15,71.26,4260.34
2024-7-20 11:46:54,483.92,96.34,192.33,16.78,92.40,25.70,99.90,12.21,44.40,2901.17
2024-7-20 11:48:30,478.59,109.06,192.94,16.77,93.10,25.70,99.90,24.38,33.31,496.10
2024-7-20 11:50:6,490.22,106.77,206.37,16.78,89.60,25.80,99.90,35.16,42.60,545.22
2024-7-20 11:51:43,478.83,102.96,183.58,16.78,90.00,25.80,99.90,38.94,40.72,88.47
2024-7-20 11:53:19,493.37,98.38,188.46,16.78,91.90,25.70,99.90,10.62,11.28,26.86
2024-7-20 11:54:55,495.07,106.01,196.81,16.78,93.70,25.70,99.90,15.82,16.90,24.48
2024-7-20 11:56:32,511.78,104.74,190.50,16.78,91.10,25.70,99.90,9.38,9.81,9.92
2024-7-20 11:58:8,572.59,109.19,198.03,16.78,90.20,25.40,99.90,8.45,32.78,1196.50
2024-7-20 11:59:45,514.93,106.01,195.79,16.77,91.80,25.50,99.90,9.08,11.54,59.20
2024-7-20 12:1:21,549.33,110.84,201.28,16.77,90.10,25.60,99.90,19.21,38.00,2530.10
2024-7-20 12:2:57,525.35,111.73,191.92,16.78,92.50,25.60,99.90,55.56,57.60,83.52
2024-7-20 12:4:34,709.47,104.61,199.25,16.78,92.20,25.60,99.90,15.24,34.30,988.35
2024-7-20 12:6:10,610.87,103.85,202.30,16.78,89.40,25.60,99.90,11.45,23.90,587.25
