timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-21 6:14:49,639.01,139.27,246.81,16.79,92.20,29.60,86.50,181.26,183.78,186.50
2024-7-21 6:16:25,492.88,93.93,196.81,16.79,90.90,29.50,89.70,10.35,10.78,10.81
2024-7-21 6:18:2,510.09,103.85,193.35,16.79,91.60,29.50,90.00,10.74,11.91,14.33
2024-7-21 6:19:38,541.34,102.83,201.49,16.79,92.60,29.50,92.00,10.66,12.00,20.34
2024-7-21 6:21:15,485.62,99.52,194.57,16.79,90.90,29.50,92.90,11.25,12.18,13.45
2024-7-21 6:22:51,502.58,105.25,183.58,16.79,93.80,29.60,91.70,181.65,184.17,191.42
2024-7-21 6:24:28,505.24,100.41,188.46,16.79,92.90,29.50,90.70,151.79,154.76,155.43
2024-7-21 6:26:4,496.03,104.48,191.92,16.79,91.40,29.50,91.30,130.60,132.69,137.48
2024-7-21 6:27:40,478.83,103.85,192.33,16.79,91.60,29.50,92.10,149.18,152.14,154.17
2024-7-21 6:29:17,474.23,106.52,187.44,16.79,91.20,29.30,91.40,132.09,134.41,134.84
2024-7-21 6:30:53,518.32,100.03,199.45,16.78,92.50,29.30,92.30,140.79,144.10,150.86
2024-7-21 17:12:11,898.41,194.95,346.33,16.78,89.90,26.50,99.90,50.05,52.59,53.68
2024-7-21 17:13:47,492.16,106.52,193.96,16.78,92.40,26.50,99.90,22.31,24.81,27.02
2024-7-21 17:15:24,527.53,108.55,190.70,16.78,92.00,26.50,99.90,18.87,20.59,21.00
2024-7-21 17:17:0,479.56,100.03,192.12,16.78,93.00,26.50,99.90,23.30,25.25,26.94
2024-7-21 17:18:37,471.81,105.88,187.85,16.78,90.90,26.50,99.90,25.21,26.72,29.69
2024-7-21 17:20:13,489.01,106.01,194.77,16.78,90.90,26.50,99.90,9.40,10.20,10.35
2024-7-21 17:21:49,477.14,101.18,189.48,16.78,89.20,26.50,99.90,24.55,27.76,31.62
2024-7-21 17:23:26,541.09,110.21,198.23,16.78,92.30,26.60,99.90,26.24,28.10,28.68
2024-7-21 17:25:2,523.89,98.63,201.49,16.78,93.20,26.60,99.90,25.64,28.34,35.03
2024-7-21 17:26:38,509.36,102.32,191.11,16.78,90.20,26.60,99.90,13.00,16.13,19.56
2024-7-21 17:28:15,529.22,100.67,190.90,16.78,90.30,26.60,99.90,27.90,30.15,46.79
2024-7-21 17:29:51,525.35,103.72,198.23,16.78,92.70,26.60,99.90,24.47,26.27,26.87
2024-7-21 17:31:27,531.16,102.70,198.03,16.78,92.10,26.60,99.90,17.57,18.89,22.77
2024-7-21 17:33:4,616.68,108.05,204.54,16.78,90.40,26.60,99.90,27.64,30.47,31.70
2024-7-21 17:34:40,639.70,102.96,210.44,16.78,89.50,26.50,99.90,20.16,22.39,28.52
2024-7-21 17:36:17,570.17,107.66,201.69,16.78,92.60,26.50,99.90,11.00,12.87,14.59
2024-7-21 17:37:53,549.09,108.68,188.87,16.78,91.60,26.60,99.90,28.64,31.60,48.09
2024-7-21 17:39:29,522.20,103.98,189.48,16.78,89.40,26.60,99.90,28.23,30.79,34.64
2024-7-21 17:41:6,476.90,103.59,182.97,16.78,91.20,26.50,99.90,26.48,29.85,33.04
2024-7-21 17:42:42,516.63,109.32,184.39,16.78,91.00,26.40,99.90,24.93,26.26,26.44
2024-7-21 17:44:18,552.24,105.63,189.89,16.78,89.90,26.30,99.90,12.00,14.18,17.59
2024-7-21 17:45:55,553.21,109.57,194.16,16.75,92.60,26.30,99.90,24.88,27.13,28.68
2024-7-21 17:47:31,559.02,108.81,195.58,16.78,91.30,26.40,99.90,25.60,28.27,33.67
2024-7-21 17:49:7,535.77,99.78,191.31,16.78,91.80,26.40,99.90,26.11,28.61,38.79
2024-7-21 17:50:44,533.10,102.70,196.40,16.77,89.80,26.40,99.90,26.43,29.06,32.60
2024-7-21 17:52:20,531.89,107.41,199.65,16.78,91.30,26.50,99.90,17.10,19.11,21.96
2024-7-21 17:53:56,518.56,100.03,196.81,16.78,90.20,26.50,99.90,9.49,11.20,12.54
2024-7-21 17:55:33,520.02,107.16,195.99,16.78,91.20,26.40,99.90,16.64,18.75,19.56
2024-7-21 17:57:9,499.18,101.18,185.82,16.78,92.50,26.30,99.90,20.09,22.32,27.94
2024-7-21 17:58:46,523.65,108.43,190.70,16.77,88.80,26.30,99.90,14.23,15.74,19.73
2024-7-21 18:0:22,534.80,104.23,200.67,16.78,86.20,26.40,99.90,23.03,26.38,35.46
2024-7-21 18:1:58,557.08,108.17,194.57,16.78,90.90,26.40,99.90,41.23,43.13,44.55
