timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-25 4:16:3,442.01,101.94,177.88,16.77,91.20,25.30,99.90,43.16,45.00,58.42
2024-7-25 4:17:40,439.59,107.79,191.11,16.78,90.00,25.30,99.90,38.83,41.68,42.46
2024-7-25 4:19:16,439.10,100.92,181.34,16.78,91.10,25.40,99.90,134.42,137.37,172.02
2024-7-25 4:20:52,439.10,109.06,185.61,16.77,93.60,25.30,99.90,26.10,31.48,208.47
2024-7-25 4:22:29,438.13,103.85,184.80,16.78,92.90,25.40,99.90,30.44,48.76,364.12
2024-7-25 4:24:5,429.41,106.52,182.76,16.78,90.90,25.40,99.90,116.41,154.46,973.36
2024-7-25 4:25:42,442.98,104.61,181.34,16.77,90.20,25.30,99.90,73.68,91.42,677.21
2024-7-25 4:27:18,438.38,103.47,176.86,16.77,89.00,25.30,99.90,39.82,41.43,44.31
2024-7-25 4:28:54,455.33,100.29,184.19,16.78,89.30,25.30,99.90,92.09,100.01,203.46
2024-7-25 4:30:31,468.42,107.16,181.75,16.78,93.10,25.30,99.90,156.36,227.02,3338.43
2024-7-25 4:32:7,452.18,99.40,176.05,16.78,91.30,25.30,99.90,37.09,39.32,49.73
2024-7-25 4:33:43,428.93,109.06,182.15,16.78,91.60,25.40,99.90,110.94,114.34,144.20
2024-7-25 4:35:20,438.86,100.80,185.82,16.77,91.70,25.40,99.90,166.52,169.64,170.96
2024-7-25 4:36:56,448.55,101.56,187.44,16.78,92.60,25.50,99.90,143.84,147.33,153.41
2024-7-25 4:38:33,449.76,103.98,171.77,16.78,91.80,25.50,99.90,113.49,117.84,141.47
2024-7-25 4:40:9,449.52,106.65,177.88,16.78,90.10,25.50,99.90,30.14,32.79,34.97
2024-7-25 4:41:45,443.95,107.28,186.02,16.78,92.70,25.50,99.90,40.66,45.61,202.11
2024-7-25 4:43:22,442.25,103.21,183.17,16.78,89.60,25.60,99.90,181.22,191.29,710.70
2024-7-25 4:44:58,462.36,107.54,173.20,16.78,88.80,25.60,99.90,92.90,101.00,485.87
2024-7-25 4:46:35,470.35,93.80,188.05,16.78,90.80,25.60,99.90,78.95,101.14,1815.01
2024-7-25 4:48:11,467.20,105.25,187.24,16.78,92.30,25.60,99.90,48.93,54.21,396.40
2024-7-25 4:49:47,460.42,103.98,185.82,16.78,90.40,25.70,99.90,181.33,187.16,291.56
2024-7-25 4:51:24,468.17,101.05,176.05,16.78,90.20,25.70,99.90,181.39,185.51,199.38
2024-7-25 4:53:0,449.28,101.30,179.71,16.78,92.90,25.70,99.90,134.17,138.03,226.15
2024-7-25 4:54:36,464.54,106.27,172.39,16.78,91.60,25.70,99.90,117.34,121.20,253.88
2024-7-25 4:56:13,479.08,98.89,185.82,16.78,91.20,25.80,99.90,181.09,184.60,269.93
2024-7-25 4:57:49,470.84,106.01,186.83,16.78,91.90,25.90,99.90,181.23,189.50,471.14
2024-7-25 4:59:25,502.09,107.28,187.85,16.78,92.60,25.90,99.90,181.74,185.52,186.14
2024-7-25 5:1:2,548.85,102.20,191.72,16.78,91.10,26.10,99.90,96.75,100.91,103.13
2024-7-25 5:2:38,487.80,105.88,174.42,16.78,92.00,26.10,99.90,181.31,186.31,329.76
2024-7-25 5:4:15,504.51,102.70,192.12,16.78,89.60,26.00,99.90,92.06,94.78,315.57
2024-7-25 5:5:51,487.80,106.77,178.08,16.78,93.30,26.10,99.90,145.11,149.41,202.55
2024-7-25 5:7:27,475.93,96.47,182.76,16.78,91.70,26.10,99.90,181.82,186.54,189.15
2024-7-25 5:9:4,492.16,103.34,189.68,16.78,92.00,26.20,99.90,181.82,185.82,187.40
2024-7-25 10:9:49,477.14,106.14,184.39,16.78,93.40,27.80,99.90,182.59,188.17,189.46
2024-7-25 13:12:53,864.84,160.83,324.68,16.78,89.60,29.70,94.00,16.80,17.56,19.66
2024-7-25 13:14:29,514.45,104.48,199.65,16.79,93.60,29.80,92.50,52.08,53.28,53.34
2024-7-25 18:58:36,897.12,129.95,235.13,16.77,92.20,25.60,99.90,32.05,33.76,50.60
2024-7-25 19:0:13,787.72,105.12,212.27,16.78,92.00,25.70,99.90,32.94,34.56,47.01
