timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-8-2 0:59:59,546.47,140.16,258.20,16.77,93.20,23.90,99.90,6.13,7.88,10.04
2024-8-2 1:1:35,385.80,106.52,173.20,16.77,90.50,24.00,99.90,8.09,10.60,22.39
2024-8-2 1:3:12,392.35,104.99,180.32,16.77,90.80,23.90,99.90,5.89,7.40,14.90
2024-8-2 1:4:49,406.64,102.58,189.68,16.77,93.70,23.90,99.90,6.03,7.12,30.37
2024-8-2 1:6:26,410.03,100.80,189.48,16.78,88.70,23.90,99.90,4.50,7.66,14.57
2024-8-2 1:8:2,433.29,108.55,191.72,16.77,89.20,24.00,99.90,4.99,7.29,19.15
2024-8-2 1:9:39,412.21,103.85,190.09,16.77,92.10,24.00,99.90,5.26,6.71,29.67
2024-8-2 1:26:58,466.62,121.31,212.75,16.77,89.70,23.90,99.90,2.59,4.41,8.70
2024-8-2 1:32:7,632.61,160.80,290.83,16.77,92.80,23.70,99.90,5.28,6.99,8.30
2024-8-2 1:33:44,441.28,112.50,180.12,16.77,93.60,23.60,99.90,5.74,6.93,10.49
2024-8-2 2:8:5,558.34,145.88,236.63,16.77,89.20,24.60,99.90,8.21,9.08,11.37
2024-8-2 2:9:42,434.50,107.03,195.58,16.77,91.80,24.60,99.90,6.33,7.15,7.93
2024-8-2 2:11:18,415.60,98.89,187.24,16.77,92.30,24.60,99.90,6.15,7.58,14.33
2024-8-2 2:12:55,403.49,108.05,190.29,16.77,91.50,24.50,99.90,7.43,8.75,15.12
2024-8-2 2:14:32,425.29,109.95,185.41,16.77,90.20,24.40,99.90,4.22,5.30,6.96
2024-8-2 2:16:8,432.32,106.52,194.16,16.77,90.60,24.50,99.90,2.84,3.71,6.83
2024-8-2 3:46:54,570.55,123.85,211.32,16.77,90.30,24.40,99.90,3.44,6.37,18.80
2024-8-2 3:48:31,510.33,102.45,192.53,16.77,93.40,24.30,99.90,7.01,9.39,19.31
2024-8-2 4:36:39,850.65,163.34,280.25,16.78,90.40,26.30,99.90,180.03,184.15,192.70
2024-8-2 4:41:49,818.04,141.56,267.16,16.78,90.50,26.50,99.90,182.40,186.97,194.72
2024-8-2 4:43:25,663.68,96.34,205.76,16.78,88.40,26.80,99.90,185.94,191.19,205.63
2024-8-2 4:45:1,619.35,108.17,204.13,16.78,92.40,26.90,99.90,195.38,203.56,213.67
2024-8-2 4:46:38,591.24,113.39,192.94,16.78,92.90,27.10,99.90,191.31,197.50,214.08
2024-8-2 4:48:15,624.19,108.81,193.14,16.78,89.90,27.40,99.90,193.55,200.57,204.02
2024-8-2 4:49:51,621.28,112.88,187.65,16.78,89.70,27.60,99.90,195.92,203.19,204.61
2024-8-2 4:51:28,612.08,109.57,197.01,16.78,93.10,27.80,99.90,202.91,211.85,226.70
2024-8-2 4:53:5,607.96,107.41,199.86,16.78,93.20,28.00,97.80,204.01,214.38,219.58
2024-8-2 4:54:41,607.23,109.95,193.14,16.78,89.60,28.20,98.70,193.28,199.77,201.26
2024-8-2 8:32:33,487.94,118.63,241.04,16.78,105.60,35.10,99.90,5.39,6.98,7.76
2024-8-2 8:34:10,404.22,101.18,210.03,16.80,92.20,35.20,99.90,9.51,10.48,11.77
2024-8-2 8:35:46,390.89,101.05,202.50,16.80,93.60,35.30,99.90,22.48,23.81,24.44
2024-8-2 8:37:23,386.53,95.84,186.02,16.80,91.20,35.40,99.90,12.17,13.09,13.33
2024-8-2 8:41:8,384.84,94.06,197.21,16.80,91.20,35.10,99.90,36.24,37.21,37.35
2024-8-2 8:42:44,386.05,105.88,193.75,16.80,92.20,35.00,99.90,1.12,2.60,3.31
2024-8-2 8:44:47,444.33,111.00,226.59,16.80,90.40,35.20,99.90,29.11,29.84,32.54
2024-8-2 8:46:23,397.43,100.16,188.05,16.80,93.60,35.30,99.90,35.37,37.03,43.16
2024-8-2 8:48:0,450.49,102.83,195.79,16.81,92.40,35.30,99.90,1.07,1.61,1.74
2024-8-2 8:49:36,417.78,104.87,201.08,16.81,93.10,35.50,99.90,36.75,37.94,38.29
2024-8-2 8:51:12,399.37,102.70,200.67,16.80,90.90,35.70,99.90,24.39,25.35,25.49
2024-8-2 8:52:49,395.74,104.48,192.74,16.81,94.70,35.80,99.90,32.05,33.51,34.91
2024-8-2 8:54:25,415.85,99.65,200.26,16.81,93.10,36.00,99.90,30.51,31.54,32.72
2024-8-2 8:56:1,406.40,100.41,202.91,16.81,94.10,36.10,99.90,0.68,2.17,3.70
2024-8-2 8:57:38,405.19,101.43,204.33,16.81,91.30,36.30,99.90,40.70,41.88,41.94
2024-8-2 8:59:14,398.64,110.08,195.38,16.82,94.50,36.60,99.90,27.25,28.04,28.08
2024-8-2 9:0:51,388.95,107.16,203.11,16.82,91.90,37.00,99.90,22.67,24.40,31.99
2024-8-2 9:2:27,397.92,105.76,188.87,16.81,91.10,37.20,99.90,3.38,4.29,4.56
2024-8-2 9:4:4,404.22,96.22,199.86,16.82,94.90,37.30,99.90,9.26,10.25,22.37
2024-8-2 9:5:40,395.25,103.47,206.17,16.81,93.40,37.40,99.90,5.25,6.55,7.47
2024-8-2 9:7:16,397.92,100.03,201.28,16.80,95.30,37.40,99.90,4.97,5.73,5.81
2024-8-2 15:9:47,850.89,162.07,293.68,16.78,90.50,27.50,99.90,102.75,104.93,106.14
2024-8-2 15:11:23,569.92,112.24,207.59,16.78,89.90,27.40,99.90,181.02,184.93,187.60
2024-8-2 15:13:0,565.56,110.34,206.57,16.78,91.30,27.30,99.90,122.07,124.98,125.60
2024-8-2 15:14:36,542.31,110.84,201.89,16.78,93.10,27.40,99.90,181.28,185.61,187.86
