timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-8-8 4:14:49,753.46,122.32,232.29,16.78,93.30,24.90,99.90,183.67,188.35,192.00
2024-8-8 4:16:26,702.93,113.51,194.57,16.78,91.50,25.00,99.90,73.19,75.12,77.96
2024-8-8 4:18:2,649.14,107.03,198.64,16.78,91.40,25.20,99.90,184.06,188.84,218.36
2024-8-8 4:19:39,635.33,103.09,188.26,16.78,93.20,25.40,99.90,183.35,186.89,188.45
2024-8-8 4:21:15,636.79,106.52,208.81,16.78,90.80,25.60,99.90,41.32,42.59,45.69
2024-8-8 4:22:52,653.26,108.43,206.17,16.78,93.60,25.80,99.90,59.49,61.67,64.76
2024-8-8 4:24:28,605.05,112.75,189.68,16.78,91.40,25.90,99.90,181.97,185.21,186.03
2024-8-8 4:26:4,548.85,102.70,199.45,16.78,88.50,26.00,99.90,174.03,178.70,185.12
2024-8-8 4:27:41,518.32,107.92,193.75,16.78,94.40,26.10,99.90,181.26,185.19,191.46
2024-8-8 4:29:17,505.97,108.05,184.80,16.78,91.70,25.90,99.90,3.99,6.23,18.15
2024-8-8 4:30:53,511.54,111.10,189.89,16.78,89.20,26.20,99.90,182.29,185.59,185.95
2024-8-8 4:32:30,508.15,105.25,188.26,16.78,93.20,26.30,99.90,182.43,185.26,190.03
2024-8-8 4:34:6,530.19,107.28,198.84,16.78,93.00,26.60,99.90,182.22,186.60,214.09
2024-8-8 4:35:43,556.12,112.12,181.75,16.78,92.40,26.80,99.90,183.59,187.23,191.11
2024-8-8 4:58:20,836.11,161.18,294.50,16.79,90.80,29.00,85.80,47.77,49.18,49.63
2024-8-8 4:59:57,562.41,106.39,199.25,16.79,93.10,29.30,86.40,14.40,15.58,16.11
2024-8-8 5:1:33,552.48,110.59,191.31,16.80,92.80,29.50,87.00,9.18,11.17,13.44
2024-8-8 5:3:9,583.49,109.83,198.43,16.80,94.30,29.80,82.50,6.21,8.28,13.14
2024-8-8 5:4:46,564.84,106.39,205.76,16.79,92.00,30.00,76.80,7.09,9.26,14.06
2024-8-8 5:6:23,554.90,103.72,189.89,16.80,95.00,30.10,75.60,5.80,8.50,24.67
2024-8-8 8:55:0,649.81,148.59,291.85,16.81,94.20,35.80,99.90,37.70,39.26,44.80
