timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-29 4:59:42,639.49,143.34,247.01,16.78,90.90,26.20,99.90,182.55,186.38,188.13
2024-7-29 5:50:58,689.30,160.54,282.90,16.78,91.20,27.80,98.70,6.22,7.32,9.65
2024-7-29 6:8:51,467.69,108.94,196.19,16.79,91.80,28.50,97.20,183.16,186.19,186.24
2024-7-29 6:10:28,438.13,103.47,194.36,16.79,94.50,28.60,92.90,183.51,186.76,186.91
2024-7-29 6:12:4,437.89,102.83,186.43,16.79,90.00,28.70,92.50,183.81,188.51,191.57
2024-7-29 6:13:41,442.01,104.48,191.72,16.79,90.20,28.80,93.00,181.70,185.28,192.30
2024-7-29 6:15:17,476.65,102.83,188.26,16.78,93.80,28.80,91.20,181.07,185.18,189.69
2024-7-29 6:16:54,747.26,102.58,234.25,16.78,88.20,28.80,88.60,181.41,184.70,185.24
2024-7-29 10:28:21,422.14,103.34,195.99,16.80,91.00,33.30,91.80,11.94,13.69,16.97
2024-7-29 10:29:58,413.91,101.43,196.60,16.80,91.30,33.20,99.20,21.62,23.50,27.62
2024-7-29 10:31:34,410.76,100.92,197.21,16.80,93.20,33.20,80.00,19.40,20.49,23.61
2024-7-29 11:25:23,762.50,188.84,365.86,16.79,89.90,31.50,69.20,20.75,22.07,22.35
2024-7-29 21:43:53,457.27,103.72,187.44,16.77,90.40,23.00,99.90,4.80,6.30,23.17
2024-7-29 21:45:29,469.39,105.50,180.93,16.78,90.80,23.10,99.90,4.74,6.39,27.54
2024-7-29 21:47:6,489.25,107.16,188.26,16.77,91.60,23.30,99.90,3.80,5.58,11.99
2024-7-29 21:48:42,500.88,102.70,188.26,16.78,92.50,23.30,99.90,6.73,9.72,15.08
2024-7-29 21:50:19,500.39,108.81,201.89,16.77,92.30,23.30,99.90,5.70,9.08,18.44
2024-7-29 21:51:55,484.41,102.70,196.81,16.77,90.20,23.40,99.90,8.84,11.34,32.81
2024-7-29 21:53:32,481.01,106.14,180.93,16.77,88.20,23.40,99.90,4.72,6.85,21.46
2024-7-29 21:55:9,480.77,105.76,185.21,16.77,92.50,23.40,99.90,6.08,8.26,11.17
2024-7-29 21:56:45,431.11,108.05,177.27,16.77,88.70,23.10,99.90,5.22,6.66,8.61
2024-7-29 21:58:22,430.62,100.41,192.74,16.76,90.80,23.00,99.90,6.82,8.54,19.49
2024-7-29 21:59:59,469.39,101.81,184.19,16.77,90.90,23.20,99.90,6.75,8.82,17.52
2024-7-29 22:1:35,520.74,103.34,184.60,16.77,90.00,23.20,99.90,8.05,11.32,24.63
2024-7-29 22:3:12,500.64,105.37,180.32,16.77,91.30,23.20,99.90,6.15,7.41,37.47
2024-7-29 22:4:48,555.15,104.23,185.00,16.77,93.50,23.20,99.90,7.38,9.28,13.03
2024-7-29 22:6:25,545.94,107.03,191.72,16.77,92.20,23.20,99.90,5.27,6.89,8.20
2024-7-29 22:8:1,503.79,108.94,179.71,16.77,91.50,23.20,99.90,5.35,6.72,10.99
