timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-7-17 0:1:5,530.19,96.98,202.91,16.78,92.00,31.60,72.40,116.58,124.50,132.00
2024-7-17 0:2:41,529.47,94.44,206.37,16.78,92.10,31.60,71.30,35.27,42.41,46.09
2024-7-17 0:4:18,529.95,96.73,203.72,16.78,91.00,31.60,71.00,75.00,84.46,92.65
2024-7-17 0:5:54,531.16,98.89,201.69,16.78,94.50,31.60,71.80,39.23,48.03,63.74
2024-7-17 0:7:30,522.20,95.58,201.49,16.78,92.00,31.60,71.80,7.85,14.26,26.68
2024-7-17 0:9:7,533.10,96.85,197.21,16.78,91.30,31.60,72.10,96.90,104.24,114.65
2024-7-17 0:10:43,530.68,100.67,204.54,16.78,91.90,31.60,71.90,84.70,89.69,91.00
2024-7-17 0:12:20,531.40,97.11,197.82,16.78,90.60,31.60,71.70,71.18,78.16,89.52
2024-7-17 0:13:56,534.31,95.84,210.64,16.78,90.90,31.60,72.10,40.65,47.50,55.41
2024-7-17 0:15:32,508.87,97.74,197.21,16.78,93.30,31.60,71.80,37.29,43.06,49.46
2024-7-17 0:17:9,515.90,87.31,197.82,16.78,89.70,31.60,72.00,33.78,40.84,53.13
2024-7-17 0:18:45,527.77,92.91,212.07,16.78,91.20,31.60,71.90,7.70,15.98,24.49
2024-7-17 0:20:21,520.26,100.54,201.49,16.79,92.10,31.60,72.30,34.57,43.84,59.95
2024-7-17 0:21:58,533.34,95.33,209.02,16.78,91.00,31.60,71.60,104.94,112.75,131.54
2024-7-17 0:23:34,535.04,95.45,201.28,16.78,90.10,31.60,71.80,8.20,14.38,22.22
2024-7-17 0:25:10,536.01,92.66,211.25,16.79,89.40,31.60,71.90,70.04,77.76,93.26
2024-7-17 0:26:47,523.65,97.87,202.30,16.78,91.00,31.60,72.20,114.27,122.63,143.91
2024-7-17 0:28:23,508.63,99.14,203.72,16.78,91.70,31.60,72.10,7.07,12.86,15.73
2024-7-17 0:30:0,538.67,98.63,209.22,16.78,91.90,31.50,72.10,7.04,14.50,35.76
2024-7-17 0:31:36,531.16,95.84,207.39,16.78,94.00,31.50,72.40,11.90,19.91,33.29
2024-7-17 0:33:12,531.40,93.16,205.15,16.79,90.20,31.50,72.50,6.55,12.26,25.47
2024-7-17 0:34:49,530.44,96.47,204.54,16.78,90.30,31.50,72.80,7.37,13.22,18.23
2024-7-17 0:36:25,524.86,94.06,203.11,16.78,93.70,31.50,73.30,8.09,14.77,27.66
2024-7-17 0:38:1,527.29,99.27,200.88,16.78,92.10,31.50,73.50,6.83,14.85,34.70
2024-7-17 0:39:38,518.81,96.34,201.28,16.78,92.90,31.50,73.70,7.15,13.56,53.25
2024-7-17 0:41:14,523.41,96.98,200.67,16.79,92.80,31.50,73.90,7.42,15.59,25.69
2024-7-17 0:42:50,524.62,96.73,204.13,16.79,92.20,31.50,73.70,9.90,15.64,23.11
2024-7-17 0:44:27,522.20,96.47,196.81,16.78,94.50,31.50,73.70,8.40,15.62,23.26
2024-7-17 0:46:3,525.83,99.14,200.26,16.78,89.90,31.50,73.50,7.94,14.59,36.20
2024-7-17 0:47:39,515.90,93.16,201.69,16.78,94.00,31.50,73.50,75.54,81.69,85.49
2024-7-17 0:49:16,522.93,93.29,206.17,16.78,92.20,31.50,73.10,24.91,31.14,39.75
2024-7-17 0:50:52,521.23,97.11,204.33,16.78,94.00,31.50,73.10,7.79,13.75,26.23
2024-7-17 0:52:29,522.93,92.40,198.84,16.78,94.60,31.50,73.20,9.47,15.39,25.89
2024-7-17 0:54:5,524.38,91.51,204.13,16.78,92.00,31.50,73.20,7.71,14.54,30.00
2024-7-17 0:55:41,525.83,96.73,204.54,16.78,91.10,31.50,73.10,7.52,13.47,16.46
2024-7-17 0:57:18,522.68,90.37,202.91,16.79,92.30,31.50,73.00,7.47,13.59,29.21
2024-7-17 0:58:54,521.23,94.31,204.74,16.78,92.40,31.50,73.10,43.11,50.96,68.21
2024-7-17 1:0:30,515.17,99.14,200.88,16.78,90.80,31.50,73.20,7.68,12.95,16.79
2024-7-17 1:2:7,511.05,98.25,192.12,16.78,92.20,31.40,73.30,48.43,55.90,61.58
2024-7-17 1:3:43,519.05,96.22,199.04,16.79,89.80,31.50,72.70,29.04,35.76,41.28
2024-7-17 1:5:20,517.11,91.89,202.71,16.79,92.30,31.40,72.50,44.01,49.85,56.63
2024-7-17 1:6:56,525.59,95.20,208.20,16.78,89.50,31.40,71.70,30.88,39.11,56.15
2024-7-17 1:8:32,509.12,96.34,194.36,16.79,89.70,31.40,71.30,33.37,39.28,52.29
2024-7-17 1:10:9,533.58,95.84,212.27,16.78,90.00,31.40,70.60,37.68,43.19,48.97
2024-7-17 1:11:45,516.14,95.33,202.91,16.78,91.20,31.40,69.80,7.37,16.03,24.83
2024-7-17 1:13:21,533.34,100.54,210.64,16.79,93.30,31.40,69.20,64.39,72.55,79.81
2024-7-17 1:14:58,521.96,96.47,207.59,16.78,93.40,31.40,69.30,41.57,46.75,50.95
2024-7-17 1:16:34,526.32,99.91,206.98,16.78,90.70,31.40,69.30,42.61,48.84,52.57
2024-7-17 1:18:10,511.05,91.77,198.03,16.78,92.50,31.40,68.80,7.18,13.56,19.23
2024-7-17 1:19:47,524.38,96.22,210.44,16.78,93.40,31.40,68.50,8.04,12.10,15.33
2024-7-17 1:21:23,529.71,97.23,209.02,16.78,89.60,31.40,67.80,7.41,13.97,34.18
2024-7-17 1:22:59,513.23,94.82,204.13,16.78,88.50,31.40,67.40,9.14,15.56,38.64
2024-7-17 1:24:36,524.86,100.41,203.11,16.79,91.60,31.40,68.00,42.25,49.16,54.22
2024-7-17 1:26:12,515.90,94.95,196.60,16.78,93.70,31.40,67.60,6.98,12.75,18.68
2024-7-17 1:27:49,514.93,90.75,203.52,16.78,90.20,31.40,67.10,36.32,45.70,59.56
2024-7-17 1:29:25,505.00,96.98,203.11,16.78,90.50,31.30,67.30,8.96,14.75,24.82
2024-7-17 1:31:1,510.57,94.56,198.43,16.78,90.60,31.30,67.70,10.14,18.00,29.16
2024-7-17 1:32:38,512.51,93.42,205.56,16.78,91.20,31.30,67.40,74.49,79.92,81.90
2024-7-17 1:34:14,506.45,96.09,197.42,16.78,89.90,31.30,66.90,9.43,16.06,31.48
